experiment_id,target,plm,chain_representation,pooling,pca_dim,model,hyperparameters,classical_family,n_features_before_pca,n_features_after_pca,Primary_MAE,Primary_fold_SD,Shadow_MAE,delta_vs_stage1_primary,delta_vs_stage1_shadow,delta_vs_plm_only_primary,status,notes
TmApp__FUSION__ablang2__HL_paired__SEQ_BASIC__SVROpt,TmApp,ablang2,HL_paired,whole_chain_mean,48,FUSION_SVROpt,"{""C"": 18.189956991772025, ""gamma"": 0.0002907403114744388, ""epsilon"": 0.3568072708595925}",SEQ_BASIC,480,126,2.7755534883042445,0.20827899658405438,2.8315941278702987,-0.32554651169575566,-0.34000587212970146,-0.14755269114063196,PLM_SHADOW_CONFIRMED,fusion with SEQ_BASIC; base_plm=TmApp__ablang2__HL_paired__SVROpt
TmApp__FUSION__ablang2__HL_paired__ANN_CDR_LENGTH__SVROpt,TmApp,ablang2,HL_paired,whole_chain_mean,64,FUSION_SVROpt,"{""C"": 46.545524700149606, ""gamma"": 0.000266010808405419, ""epsilon"": 0.00667665363620439}",ANN_CDR_LENGTH,480,73,2.8749596892133256,0.29443883518730035,2.873986726410604,-0.22614031078667463,-0.29761327358939615,-0.04814649023155093,PLM_SHADOW_CONFIRMED,fusion with ANN_CDR_LENGTH; base_plm=TmApp__ablang2__HL_paired__SVROpt
TmApp__FUSION__ablang2__HL_paired__ANN_GERMLINE__SVROpt,TmApp,ablang2,HL_paired,whole_chain_mean,64,FUSION_SVROpt,"{""C"": 44.39877065627469, ""gamma"": 0.00029604366092326155, ""epsilon"": 0.0011479892226426813}",ANN_GERMLINE,480,102,2.8982770018821973,0.3328628167708258,2.9619950047824757,-0.2028229981178029,-0.20960499521752451,-0.024829177562679217,PLM_SHADOW_CONFIRMED,fusion with ANN_GERMLINE; base_plm=TmApp__ablang2__HL_paired__SVROpt
TmApp__FUSION__esm1b__HL__SEQ_BASIC__SVROpt,TmApp,esm1b,HL,whole_chain_mean,8,FUSION_SVROpt,"{""C"": 15.969350542498272, ""gamma"": 0.00034560466774114504, ""epsilon"": 0.389943553671291}",SEQ_BASIC,2560,86,3.114580366591671,0.28469462368650816,3.1558578847110312,0.013480366591670734,-0.01574211528896896,0.009944863581447638,PLM_NO_GAIN,fusion with SEQ_BASIC; base_plm=TmApp__esm1b__HL__SVROpt
TmApp__FUSION__esm1b__HL__ANN_CDR_LENGTH__SVROpt,TmApp,esm1b,HL,whole_chain_mean,64,FUSION_SVROpt,"{""C"": 11.390669788719109, ""gamma"": 0.0008928694233568539, ""epsilon"": 0.5013401083614103}",ANN_CDR_LENGTH,2560,73,3.114129872570955,0.3224307727807185,3.1527773352781425,0.013029872570955003,-0.018822664721857674,0.009494369560731908,PLM_NO_GAIN,fusion with ANN_CDR_LENGTH; base_plm=TmApp__esm1b__HL__SVROpt
TmApp__FUSION__esm1b__HL__ANN_GERMLINE__SVROpt,TmApp,esm1b,HL,whole_chain_mean,8,FUSION_SVROpt,"{""C"": 15.969350542498272, ""gamma"": 0.00034560466774114504, ""epsilon"": 0.389943553671291}",ANN_GERMLINE,2560,46,3.1045159334446395,0.32756754868929805,3.1782616083085946,0.0034159334446393075,0.006661608308594413,-0.00011956956558378806,PLM_NO_GAIN,fusion with ANN_GERMLINE; base_plm=TmApp__esm1b__HL__SVROpt
TmApp__FUSION__esm2__HL__SEQ_BASIC__SVROpt,TmApp,esm2,HL,whole_chain_mean,64,FUSION_SVROpt,"{""C"": 12.779197833674479, ""gamma"": 0.00028381397829538643, ""epsilon"": 0.0011554221780153888}",SEQ_BASIC,2560,142,3.126486638489611,0.3401694713397665,3.1555269602404663,0.025386638489610647,-0.01607303975953389,0.01128021265073631,PLM_NO_GAIN,fusion with SEQ_BASIC; base_plm=TmApp__esm2__HL__SVROpt
TmApp__FUSION__esm2__HL__ANN_CDR_LENGTH__SVROpt,TmApp,esm2,HL,whole_chain_mean,64,FUSION_SVROpt,"{""C"": 10.656881444561979, ""gamma"": 0.0003626293774249186, ""epsilon"": 0.008025137001823902}",ANN_CDR_LENGTH,2560,73,3.1280184592096787,0.32286800581093966,3.1413085283496307,0.026918459209678502,-0.030291471650369495,0.012812033370804166,PLM_NO_GAIN,fusion with ANN_CDR_LENGTH; base_plm=TmApp__esm2__HL__SVROpt
TmApp__FUSION__esm2__HL__ANN_GERMLINE__SVROpt,TmApp,esm2,HL,whole_chain_mean,64,FUSION_SVROpt,"{""C"": 10.656881444561979, ""gamma"": 0.0003626293774249186, ""epsilon"": 0.008025137001823902}",ANN_GERMLINE,2560,102,3.1257526001716447,0.3345742712211509,3.1353997929798996,0.0246526001716445,-0.03620020702010063,0.010546174332770164,PLM_NO_GAIN,fusion with ANN_GERMLINE; base_plm=TmApp__esm2__HL__SVROpt
HIC__FUSION__esm2__H__SEQ_ALL__SVROpt,HIC,esm2,H,whole_chain_mean,8,FUSION_SVROpt,"{""C"": 2.7132375976290684, ""gamma"": 0.00021035972553881986, ""epsilon"": 0.0634962699970796}",SEQ_ALL,1280,123,0.44845173423800827,0.03954785975893708,0.4509899411146513,-0.02474826576199174,-0.02781005888534871,-0.006710236443690787,PLM_SHADOW_CONFIRMED,fusion with SEQ_ALL; base_plm=HIC__esm2__H__SVROpt
