target,PLM,chain,regressor,representation,Primary_MAE,fold_SD,n_features,delta_raw_minus_pca32,pca32_Primary_MAE,pca32_fold_SD
TmApp,esm1b,H,Ridge,raw,4.100095338532419,0.7086156633771337,1280,0.5080545194221262,3.5920408191102924,0.4318302125456216
TmApp,esm1b,H,Ridge,PCA32,3.5920408191102924,0.4318302125456216,32,0.5080545194221262,3.5920408191102924,0.4318302125456216
TmApp,esm1b,H,SVR,raw,3.447894082478841,0.18629580116919284,1280,0.03793099582914783,3.409963086649693,0.16336218907215025
TmApp,esm1b,H,SVR,PCA32,3.409963086649693,0.16336218907215025,32,0.03793099582914783,3.409963086649693,0.16336218907215025
TmApp,esm1b,L,Ridge,raw,4.367204014460246,0.41874431514852833,1280,0.6031519564715304,3.764052057988716,0.26146283048293223
TmApp,esm1b,L,Ridge,PCA32,3.764052057988716,0.26146283048293223,32,0.6031519564715304,3.764052057988716,0.26146283048293223
TmApp,esm1b,L,SVR,raw,3.3870914150278706,0.27017377971519435,1280,-0.03055488549409624,3.417646300521967,0.3256014563919598
TmApp,esm1b,L,SVR,PCA32,3.417646300521967,0.3256014563919598,32,-0.03055488549409624,3.417646300521967,0.3256014563919598
TmApp,esm1b,HL,Ridge,raw,3.838200530138883,0.5563221906650941,2560,0.48767280867605534,3.3505277214628277,0.25712223024396297
TmApp,esm1b,HL,Ridge,PCA32,3.3505277214628277,0.25712223024396297,32,0.48767280867605534,3.3505277214628277,0.25712223024396297
TmApp,esm1b,HL,SVR,raw,3.4517059572553714,0.18848715094388707,2560,0.003773494178521908,3.4479324630768495,0.18691647575454118
TmApp,esm1b,HL,SVR,PCA32,3.4479324630768495,0.18691647575454118,32,0.003773494178521908,3.4479324630768495,0.18691647575454118
TmApp,esm2,H,Ridge,raw,4.347435868147647,0.7395170360473703,1280,0.8038675214305062,3.543568346717141,0.36437503471306537
TmApp,esm2,H,Ridge,PCA32,3.543568346717141,0.36437503471306537,32,0.8038675214305062,3.543568346717141,0.36437503471306537
TmApp,esm2,H,SVR,raw,3.4482038393116867,0.18790248779870086,1280,0.017738473026780444,3.4304653662849063,0.18428656917221023
TmApp,esm2,H,SVR,PCA32,3.4304653662849063,0.18428656917221023,32,0.017738473026780444,3.4304653662849063,0.18428656917221023
TmApp,esm2,L,Ridge,raw,5.615395543069551,0.9351373551692234,1280,1.8999685229677143,3.7154270201018362,0.14194687898112698
TmApp,esm2,L,Ridge,PCA32,3.7154270201018362,0.14194687898112698,32,1.8999685229677143,3.7154270201018362,0.14194687898112698
TmApp,esm2,L,SVR,raw,3.3690499182174465,0.26837583249360336,1280,0.0411127956052697,3.327937122612177,0.2964058047334784
TmApp,esm2,L,SVR,PCA32,3.327937122612177,0.2964058047334784,32,0.0411127956052697,3.327937122612177,0.2964058047334784
TmApp,esm2,HL,Ridge,raw,3.9125071771217117,0.8591319118100397,2560,0.6627383145419041,3.2497688625798076,0.20511355374375426
TmApp,esm2,HL,Ridge,PCA32,3.2497688625798076,0.20511355374375426,32,0.6627383145419041,3.2497688625798076,0.20511355374375426
TmApp,esm2,HL,SVR,raw,3.4516178727435394,0.1886542943065293,2560,0.007618611570534561,3.443999261173005,0.19369601366183503
TmApp,esm2,HL,SVR,PCA32,3.443999261173005,0.19369601366183503,32,0.007618611570534561,3.443999261173005,0.19369601366183503
TmApp,ablang2,H,Ridge,raw,3.7992505413113222,0.3391750519396321,480,0.4900037758278133,3.309246765483509,0.504342782436593
TmApp,ablang2,H,Ridge,PCA32,3.309246765483509,0.504342782436593,32,0.4900037758278133,3.309246765483509,0.504342782436593
TmApp,ablang2,H,SVR,raw,3.360000187600059,0.19655607382401213,480,0.061184065442998925,3.29881612215706,0.23925558198689786
TmApp,ablang2,H,SVR,PCA32,3.29881612215706,0.23925558198689786,32,0.061184065442998925,3.29881612215706,0.23925558198689786
TmApp,ablang2,L,Ridge,raw,4.15450524633581,0.3757689049500793,480,0.7688084595131155,3.3856967868226944,0.16734302154824848
TmApp,ablang2,L,Ridge,PCA32,3.3856967868226944,0.16734302154824848,32,0.7688084595131155,3.3856967868226944,0.16734302154824848
TmApp,ablang2,L,SVR,raw,3.325701552159745,0.21583298868407602,480,0.07412804794656358,3.2515735042131815,0.2848184610931825
TmApp,ablang2,L,SVR,PCA32,3.2515735042131815,0.2848184610931825,32,0.07412804794656358,3.2515735042131815,0.2848184610931825
TmApp,ablang2,HL,Ridge,raw,3.069406884366816,0.3080966818879912,960,0.05300162561012023,3.016405258756696,0.29192102216239446
TmApp,ablang2,HL,Ridge,PCA32,3.016405258756696,0.29192102216239446,32,0.05300162561012023,3.016405258756696,0.29192102216239446
TmApp,ablang2,HL,SVR,raw,3.4450543674412897,0.18952585125164279,960,0.07654602765113516,3.3685083397901545,0.21830480840303895
TmApp,ablang2,HL,SVR,PCA32,3.3685083397901545,0.21830480840303895,32,0.07654602765113516,3.3685083397901545,0.21830480840303895
TmApp,ablang2,HL_paired,Ridge,raw,3.054823949842742,0.39303213243337304,480,0.01972094232385846,3.0351030075188836,0.3067774711355276
TmApp,ablang2,HL_paired,Ridge,PCA32,3.0351030075188836,0.3067774711355276,32,0.01972094232385846,3.0351030075188836,0.3067774711355276
TmApp,ablang2,HL_paired,SVR,raw,3.363239887504958,0.18713375447574832,480,0.10519475300299552,3.2580451345019625,0.28627428623474743
TmApp,ablang2,HL_paired,SVR,PCA32,3.2580451345019625,0.28627428623474743,32,0.10519475300299552,3.2580451345019625,0.28627428623474743
HIC,esm1b,H,Ridge,raw,0.6513207734382513,0.09642606021407517,1280,0.09718832871263683,0.5541324447256145,0.10331827154243041
HIC,esm1b,H,Ridge,PCA32,0.5541324447256145,0.10331827154243041,32,0.09718832871263683,0.5541324447256145,0.10331827154243041
HIC,esm1b,H,SVR,raw,0.5976209493853919,0.03850957857096865,1280,0.007543946321558526,0.5900770030638334,0.03933861997875168
HIC,esm1b,H,SVR,PCA32,0.5900770030638334,0.03933861997875168,32,0.007543946321558526,0.5900770030638334,0.03933861997875168
HIC,esm1b,L,Ridge,raw,1.010847266179865,0.12285200614850529,1280,0.35085674864306604,0.659990517536799,0.07590547695619163
HIC,esm1b,L,Ridge,PCA32,0.659990517536799,0.07590547695619163,32,0.35085674864306604,0.659990517536799,0.07590547695619163
HIC,esm1b,L,SVR,raw,0.6123994094226096,0.03508586506227081,1280,-0.017156596666585422,0.629556006089195,0.04422823614746519
HIC,esm1b,L,SVR,PCA32,0.629556006089195,0.04422823614746519,32,-0.017156596666585422,0.629556006089195,0.04422823614746519
HIC,esm1b,HL,Ridge,raw,0.7140450765205153,0.11727614929764739,2560,0.09537293815468306,0.6186721383658322,0.15310996170344512
HIC,esm1b,HL,Ridge,PCA32,0.6186721383658322,0.15310996170344512,32,0.09537293815468306,0.6186721383658322,0.15310996170344512
HIC,esm1b,HL,SVR,raw,0.5989070248765159,0.03824997167417716,2560,-0.0007221686760647827,0.5996291935525807,0.03671917536095162
HIC,esm1b,HL,SVR,PCA32,0.5996291935525807,0.03671917536095162,32,-0.0007221686760647827,0.5996291935525807,0.03671917536095162
HIC,esm2,H,Ridge,raw,0.5894474710334431,0.03530493174934212,1280,0.08188992701299258,0.5075575440204505,0.10809174159800461
HIC,esm2,H,Ridge,PCA32,0.5075575440204505,0.10809174159800461,32,0.08188992701299258,0.5075575440204505,0.10809174159800461
HIC,esm2,H,SVR,raw,0.594362868554745,0.03627466550123967,1280,0.024041819184725366,0.5703210493700196,0.029766183608055923
HIC,esm2,H,SVR,PCA32,0.5703210493700196,0.029766183608055923,32,0.024041819184725366,0.5703210493700196,0.029766183608055923
HIC,esm2,L,Ridge,raw,1.0774380845958536,0.15715102819020538,1280,0.4332425261186831,0.6441955584771705,0.05513962254152433
HIC,esm2,L,Ridge,PCA32,0.6441955584771705,0.05513962254152433,32,0.4332425261186831,0.6441955584771705,0.05513962254152433
HIC,esm2,L,SVR,raw,0.6031856550161038,0.042896250666734186,1280,-0.00035690846805847,0.6035425634841622,0.03792079208451429
HIC,esm2,L,SVR,PCA32,0.6035425634841622,0.03792079208451429,32,-0.00035690846805847,0.6035425634841622,0.03792079208451429
HIC,esm2,HL,Ridge,raw,0.6463675156593321,0.08139415770131161,2560,0.10741734127131364,0.5389501743880185,0.11455160670096622
HIC,esm2,HL,Ridge,PCA32,0.5389501743880185,0.11455160670096622,32,0.10741734127131364,0.5389501743880185,0.11455160670096622
HIC,esm2,HL,SVR,raw,0.5988491272448986,0.038225161725797235,2560,0.0035326786898373097,0.5953164485550613,0.03579767754822801
HIC,esm2,HL,SVR,PCA32,0.5953164485550613,0.03579767754822801,32,0.0035326786898373097,0.5953164485550613,0.03579767754822801
