experiment_id,target,PLM,chain,regressor,pca_dim,hyperparameters,Primary_MAE,Primary_fold_SD,raw_with_same_HP_MAE,n_features,status
TmApp__ablang2__HL_paired__RidgeOpt_PCANone,TmApp,ablang2,HL_paired,RidgeOpt,None,"{""alpha"": 54.034535219662935}",2.8634150425593057,0.36184083175324533,2.8634150425593057,480,PHASE2_TUNED
TmApp__ablang2__HL_paired__SVROpt_PCA64,TmApp,ablang2,HL_paired,SVROpt,64,"{""C"": 36.58954048282737, ""gamma"": 0.00021222233955858917, ""epsilon"": 0.00985677287287561}",2.967822516065445,0.30246103706809624,2.905009849086024,64,PHASE2_TUNED
TmApp__ablang2__HL__RidgeOpt_PCANone,TmApp,ablang2,HL,RidgeOpt,None,"{""alpha"": 97.90775331471063}",2.920251204028274,0.4778862632547344,2.920251204028274,960,PHASE2_TUNED
TmApp__ablang2__HL__SVROpt_PCA64,TmApp,ablang2,HL,SVROpt,64,"{""C"": 14.934235861059099, ""gamma"": 0.0013604370937647246, ""epsilon"": 0.018497509554903573}",3.1240904998879993,0.3902224630091416,3.0444384125164303,64,PHASE2_TUNED
HIC__esm2__H__RidgeOpt_PCA32,HIC,esm2,H,RidgeOpt,32,"{""alpha"": 73.4259080443188}",0.5045038529049266,0.10683659489534973,0.5320739652980457,32,PHASE2_TUNED
HIC__esm2__H__SVROpt_PCANone,HIC,esm2,H,SVROpt,None,"{""C"": 1.205320138644161, ""gamma"": 0.0004032039081113628, ""epsilon"": 0.016987321928896612}",0.4530230116517163,0.028609932498958622,0.4530230116517163,1280,PHASE2_TUNED
HIC__esm1b__H__RidgeOpt_PCA64,HIC,esm1b,H,RidgeOpt,64,"{""alpha"": 99.37911127929151}",0.5409923730517878,0.10304137562398184,0.5726490250818657,64,PHASE2_TUNED
HIC__esm1b__H__SVROpt_PCA64,HIC,esm1b,H,SVROpt,64,"{""C"": 1.1722193939496186, ""gamma"": 0.00026401873542442647, ""epsilon"": 0.0014614409964643354}",0.4703177540257563,0.05053898075741778,0.47115434712539983,64,PHASE2_TUNED
TmApp__esm1b__L__RidgeOpt_PCA8,TmApp,esm1b,L,RidgeOpt,8,"{""alpha"": 85.96376187483328}",3.384782018083514,0.3717012240937156,3.918964650414207,8,PHASE2_TUNED
TmApp__esm1b__L__SVROpt_PCANone,TmApp,esm1b,L,SVROpt,None,"{""C"": 11.73418254931098, ""gamma"": 0.00814022756732811, ""epsilon"": 0.9728613904848116}",3.326407406299559,0.35211217924458504,3.326407406299559,1280,PHASE2_TUNED
HIC__ablang2__L__RidgeOpt_PCA8,HIC,ablang2,L,RidgeOpt,8,"{""alpha"": 0.02006780905520308}",0.5880924505002569,0.04027983685872521,0.9324045869769473,8,PHASE2_TUNED
HIC__ablang2__L__SVROpt_PCA32,HIC,ablang2,L,SVROpt,32,"{""C"": 0.19699682946472005, ""gamma"": 0.27279645151607995, ""epsilon"": 0.001877021800497372}",0.5186256352147115,0.025242685115517884,0.5186254984980321,32,PHASE2_TUNED
HIC__esm1b__L__RidgeOpt_PCA8,HIC,esm1b,L,RidgeOpt,8,"{""alpha"": 85.96376187483328}",0.6030651981556053,0.05088588095548077,0.7640427871140567,8,PHASE2_TUNED
HIC__esm1b__L__SVROpt_PCA32,HIC,esm1b,L,SVROpt,32,"{""C"": 0.14920905265947537, ""gamma"": 0.004726867245455668, ""epsilon"": 0.08171807745066932}",0.5176869008423928,0.028432188744938535,0.5184072842944261,32,PHASE2_TUNED
