id,fold,y_true,y_pred,residual,experiment_id
ADI-37123,1,8.566,8.818612355760619,-0.25261235576061836,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-38499,0,9.901,9.088208852612645,0.8127911473873546,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-38501,4,8.959,9.621724417268199,-0.6627244172681994,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-38502,4,8.886,9.86959333744792,-0.9835933374479211,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45379,1,8.794,9.090703640561019,-0.2967036405610184,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45388,0,8.984,9.297458030919055,-0.31345803091905466,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45389,0,8.857,9.11754970344634,-0.26054970344634043,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45390,3,8.809,8.94904861112031,-0.14004861112031008,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45391,0,9.153,9.267298973812972,-0.11429897381297138,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45402,3,8.736,9.413663517732628,-0.6776635177326273,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45406,1,8.78,9.588382545102373,-0.8083825451023738,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45408,2,8.964,9.137950079706432,-0.17395007970643128,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45422,3,10.143,9.430157168867579,0.7128428311324218,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45425,0,11.09,10.056210289795963,1.0337897102040365,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45430,0,8.799,9.15525738620647,-0.3562573862064706,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45435,1,11.905,9.875315082783567,2.029684917216432,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45439,0,8.736,9.164829357361393,-0.4288293573613924,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45440,1,9.017,9.546265616149238,-0.5292656161492388,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45450,3,8.717,9.19762197775318,-0.48062197775317905,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45451,3,11.138,9.649669359601576,1.4883306403984236,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45453,3,9.357,9.224498275608765,0.13250172439123453,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45454,4,8.974,9.207665006334976,-0.23366500633497544,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45455,2,8.717,9.031084415349053,-0.3140844153490523,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45461,1,9.202,9.898200219821335,-0.6962002198213355,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45463,0,8.916,9.262166461870885,-0.34616646187088485,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45464,0,8.77,9.248065482118893,-0.4780654821188932,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45465,1,8.755,9.239316736588377,-0.4843167365883758,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45479,2,9.003,9.13767280176781,-0.1346728017678096,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45480,3,9.212,9.383249423689595,-0.17124942368959495,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45488,0,9.275,9.442808617733059,-0.16780861773305844,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45490,0,9.144,9.196696372973358,-0.05269637297335805,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45491,2,9.406,9.408640370748293,-0.0026403707482920424,HIC__ESMFold__STRUCT_SASA__RidgeOpt
ADI-45493,4,10.406,9.889488316085961,0.5165116839140396,HIC__ESMFold__STRUCT_SASA__RidgeOpt
