id,fold,y_true,y_pred,residual,experiment_id
ADI-37123,1,8.566,8.87754051811989,-0.31154051811988914,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-38499,0,9.901,9.30276634922103,0.598233650778969,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-38501,4,8.959,9.608591047762365,-0.6495910477623656,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-38502,4,8.886,9.493368215035886,-0.607368215035887,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45379,1,8.794,8.768793448602954,0.025206551397046084,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45388,0,8.984,9.34678465904347,-0.36278465904347,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45389,0,8.857,8.871838336308162,-0.01483833630816278,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45390,3,8.809,8.947538943535175,-0.13853894353517582,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45391,0,9.153,8.973996412084592,0.1790035879154086,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45402,3,8.736,8.417317954890708,0.3186820451092931,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45406,1,8.78,9.326838912796859,-0.5468389127968596,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45408,2,8.964,8.84964307192088,0.11435692807912012,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45422,3,10.143,9.594746111085323,0.5482538889146777,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45425,0,11.09,10.424492600739567,0.6655073992604326,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45430,0,8.799,9.202210062032751,-0.4032100620327519,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45435,1,11.905,10.299846320014598,1.605153679985401,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45439,0,8.736,8.925869779978047,-0.18986977997804644,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45440,1,9.017,9.856497689023556,-0.8394976890235561,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45450,3,8.717,9.044774019697973,-0.3277740196979728,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45451,3,11.138,10.22202163859097,0.9159783614090298,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45453,3,9.357,9.047836305516627,0.309163694483372,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45454,4,8.974,8.221998122693332,0.7520018773066681,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45455,2,8.717,9.451792047442355,-0.7347920474423546,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45461,1,9.202,9.155573649563957,0.04642635043604315,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45463,0,8.916,9.084210997515694,-0.16821099751569335,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45464,0,8.77,8.50951431919527,0.2604856808047291,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45465,1,8.755,9.410514560963277,-0.655514560963276,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45479,2,9.003,9.208213357495595,-0.20521335749559455,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45480,3,9.212,10.137884407780277,-0.925884407780277,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45488,0,9.275,9.311096758226167,-0.03609675822616687,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45490,0,9.144,9.039569923247207,0.10443007675279325,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45491,2,9.406,9.617490949459985,-0.21149094945998392,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45493,4,10.406,10.092648097428205,0.3133519025717959,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45495,0,10.381,9.41120063917693,0.969799360823071,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45497,2,12.74,10.532983988213447,2.2070160117865534,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-45499,4,12.216,10.147176403675989,2.0688235963240107,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-46677,3,9.406,8.90909071276513,0.49690928723487104,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-46682,3,8.833,9.463813739745802,-0.6308137397458022,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-46684,2,9.037,10.157648744919713,-1.1206487449197127,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-46685,0,8.843,8.693032862968726,0.14996713703127362,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-46690,0,8.819,8.694855776431764,0.12414422356823707,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-46695,4,9.013,9.613211280703982,-0.6002112807039826,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-46697,3,9.095,9.190782419179161,-0.09578241917916053,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-46704,2,8.78,9.173274721363281,-0.3932747213632819,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-46705,4,9.304,9.792429331620387,-0.48842933162038626,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-46708,2,8.765,9.597815549407889,-0.8328155494078882,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-46710,1,9.1,9.64854282348079,-0.5485428234807905,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47054,4,8.523,9.293633749946363,-0.7706337499463629,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47060,4,8.707,9.038957700720331,-0.3319577007203307,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47061,3,8.731,8.982971347458546,-0.25197134745854655,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47063,0,8.756,8.516896632221451,0.23910336777854901,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47064,1,8.77,9.06827860570546,-0.2982786057054607,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47065,1,8.775,8.318229400937613,0.4567705990623878,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47066,1,8.775,8.910181068597497,-0.1351810685974968,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47068,2,8.8,8.819707773472926,-0.019707773472925183,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47069,3,8.804,9.44871836884132,-0.6447183688413194,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47072,3,8.823,8.861553586705307,-0.03855358670530684,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47073,4,8.829,8.969187300113017,-0.14018730011301628,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47074,0,8.834,9.513912023991635,-0.6799120239916352,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47075,3,8.838,8.418692464218314,0.41930753578168556,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47076,1,8.857,9.10387404256255,-0.24687404256255085,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47078,2,8.867,8.638139892541025,0.228860107458976,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47079,2,8.877,9.793682146162576,-0.9166821461625752,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47081,1,8.906,8.502193916096262,0.4038060839037385,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47087,4,8.93,9.61350375250313,-0.68350375250313,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47089,3,8.94,9.97538347041992,-1.0353834704199212,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47091,2,8.959,9.422897365440114,-0.46389736544011484,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47094,0,9.003,9.486080335692366,-0.48308033569236564,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47095,1,9.022,9.154118329258734,-0.13211832925873424,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47096,2,9.027,9.636977026902265,-0.609977026902266,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47097,1,9.037,8.908013886707543,0.12898611329245746,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47098,2,9.066,9.422823680758166,-0.35682368075816484,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47099,4,9.071,9.860663668689993,-0.7896636686899932,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47100,3,9.081,9.491782412958138,-0.4107824129581381,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47102,4,9.115,8.866210697242145,0.2487893027578547,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47103,3,9.119,8.717653978237694,0.40134602176230594,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47105,1,9.13,8.75437661023862,0.37562338976138143,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47111,3,9.173,8.941584856482766,0.2314151435172338,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47114,0,9.236,9.161784013684835,0.07421598631516524,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47117,4,9.25,10.067792663645761,-0.8177926636457613,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47118,3,9.25,9.832550934192875,-0.5825509341928754,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47122,0,9.285,9.124577500446094,0.1604224995539063,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47123,3,9.309,10.138053870246496,-0.8290538702464971,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47130,2,9.522,9.61469453767839,-0.09269453767839053,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47131,2,9.527,9.421766310131611,0.10523368986838832,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47132,3,9.557,9.546841770360537,0.010158229639463556,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47134,2,9.585,9.514044784965321,0.0709552150346795,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47139,2,9.75,9.594640902612023,0.15535909738797749,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47141,1,9.833,9.224287407892371,0.6087125921076293,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47145,0,9.978,10.034916212260203,-0.05691621226020338,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47146,0,10.032,9.579685496907818,0.45231450309218246,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47147,4,10.076,10.309797346304602,-0.23379734630460192,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47149,1,10.503,10.116121975617105,0.3868780243828951,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47151,4,10.546,9.380194928825178,1.1658050711748214,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47153,3,11.148,9.638710931424802,1.5092890685751978,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47154,0,10.949,10.130888953713923,0.8181110462860772,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47155,1,10.984,9.411675411907185,1.5723245880928154,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47156,1,10.541,10.20419432307272,0.3368056769272805,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47158,1,11.386,9.343351569085026,2.042648430914973,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47159,3,10.41,9.640440218635652,0.7695597813643484,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47162,3,11.866,10.057810158832005,1.8081898411679944,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47163,2,12.148,8.588118475401066,3.559881524598934,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47165,1,10.187,10.351704834688173,-0.1647048346881732,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47176,4,8.697,8.862086774535921,-0.16508677453592213,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47177,2,8.717,9.402813953385936,-0.6858139533859351,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47180,2,8.727,8.936568896427273,-0.20956889642727283,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47181,0,9.77,9.101262840722082,0.6687371592779172,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47183,4,8.756,9.41199934400332,-0.6559993440033196,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47187,2,9.119,9.550841844387778,-0.43184184438777784,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47188,1,8.857,9.445395772842348,-0.5883957728423486,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47189,4,8.862,9.081363757408306,-0.21936375740830627,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47195,1,8.906,9.831822037329264,-0.9258220373292634,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47199,1,8.931,9.516985523088419,-0.5859855230884197,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47204,1,8.965,10.376431415894961,-1.4114314158949615,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47207,3,9.008,8.689936047452404,0.318063952547595,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47209,1,9.037,8.916874995374283,0.12012500462571829,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47212,4,9.081,10.079362097788879,-0.9983620977888794,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47213,1,9.081,9.46361757063441,-0.3826175706344106,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47215,0,9.086,9.173511169134022,-0.08751116913402157,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47216,4,9.096,9.467643257138162,-0.37164325713816204,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47218,2,9.119,9.652656195528323,-0.533656195528323,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47219,4,9.144,9.566559841235524,-0.4225598412355236,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47223,4,9.202,10.136200005816114,-0.9342000058161144,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47224,3,9.207,9.545785814136254,-0.3387858141362532,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
ADI-47225,0,9.236,9.541384826978593,-0.30538482697859237,HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt
