feature_name,family,structure_source,level,definition,unit,missing_count,label_independent,notes
Fv_total_sasa,STRUCT_SASA,ESMFold,Fv,Fv_total_sasa,mixed,0,True,gate_b2 precomputed
Fv_mean_sasa,STRUCT_SASA,ESMFold,Fv,Fv_mean_sasa,mixed,0,True,gate_b2 precomputed
Fv_mean_rasa,STRUCT_RASA,ESMFold,Fv,Fv_mean_rasa,mixed,0,True,gate_b2 precomputed
Fv_median_rasa,STRUCT_RASA,ESMFold,Fv,Fv_median_rasa,mixed,0,True,gate_b2 precomputed
Fv_max_rasa,STRUCT_RASA,ESMFold,Fv,Fv_max_rasa,mixed,0,True,gate_b2 precomputed
Fv_frac_rasa_gt_0_20,STRUCT_RASA,ESMFold,Fv,Fv_frac_rasa_gt_0_20,mixed,0,True,gate_b2 precomputed
Fv_frac_rasa_gt_0_25,STRUCT_RASA,ESMFold,Fv,Fv_frac_rasa_gt_0_25,mixed,0,True,gate_b2 precomputed
Fv_frac_rasa_gt_0_50,STRUCT_RASA,ESMFold,Fv,Fv_frac_rasa_gt_0_50,mixed,0,True,gate_b2 precomputed
Fv_frac_rasa_gt_1,STRUCT_RASA,ESMFold,Fv,Fv_frac_rasa_gt_1,mixed,0,True,gate_b2 precomputed
Fv_n_res,STRUCT_GLOBAL,ESMFold,Fv,Fv_n_res,mixed,0,True,gate_b2 precomputed
Fv_n_exposed,STRUCT_RASA,ESMFold,Fv,Fv_n_exposed,mixed,0,True,gate_b2 precomputed
Fv_sasa_hydrophobic,STRUCT_SURFACE_CHEM,ESMFold,Fv,Fv_sasa_hydrophobic,mixed,0,True,gate_b2 precomputed
Fv_sasa_aromatic,STRUCT_SURFACE_CHEM,ESMFold,Fv,Fv_sasa_aromatic,mixed,0,True,gate_b2 precomputed
Fv_sasa_positive,STRUCT_SURFACE_CHEM,ESMFold,Fv,Fv_sasa_positive,mixed,0,True,gate_b2 precomputed
Fv_sasa_negative,STRUCT_SURFACE_CHEM,ESMFold,Fv,Fv_sasa_negative,mixed,0,True,gate_b2 precomputed
