experiment_id,target,label,feature_family,model,Primary_MAE,Shadow_MAE,Shadow_fold_SD,delta_vs_plm_only_shadow,delta_vs_overall_shadow,status
TmApp__ESMFold__STRUCT_RASA__ElasticNetOpt,TmApp,structure_only,STRUCT_RASA,ElasticNetOpt,3.241371300305512,3.2154054211795184,0.2255995937211266,0.23510542117951827,0.38380542117951855,STRUCT_SHADOW_EVAL
TmApp__ESMFold__STRUCT_ALL__ElasticNetOpt,TmApp,structure_only,STRUCT_ALL,ElasticNetOpt,3.2456755843845775,3.2438446408801225,0.1726693530639973,0.2635446408801223,0.4122446408801226,STRUCT_SHADOW_EVAL
TmApp__ESMFold__STRUCT_RASA__SVROpt,TmApp,structure_only,STRUCT_RASA,SVROpt,3.2830384100507928,3.271715605483146,0.18794909207006036,0.29141560548314605,0.4401156054831463,STRUCT_SHADOW_EVAL
TmApp__FUSION_PLM__ESMFold__STRUCT_PACKING__SVROpt,TmApp,plm_struct,STRUCT_PACKING,PLM+SVROpt,2.836401677219856,2.933032969320664,0.3804716144295258,-0.04726703067933613,0.10143296932066415,STRUCT_SHADOW_CONFIRMED
TmApp__FUSION_PLM__ESMFold__STRUCT_GEOMETRY_ALL__SVROpt,TmApp,plm_struct,STRUCT_GEOMETRY_ALL,PLM+SVROpt,2.8668013086881157,2.950977817230046,0.442929292270259,-0.029322182769954352,0.11937781723004592,STRUCT_NO_GAIN
TmApp__FUSION_PLM__ESMFold__STRUCT_ALL__SVROpt,TmApp,plm_struct,STRUCT_ALL,PLM+SVROpt,2.8779650372738907,2.92410301238595,0.30738350492688743,-0.05619698761405001,0.09250301238595027,STRUCT_NO_GAIN
TmApp__FUSION_OVERALL__ESMFold__STRUCT_RASA__SVROpt,TmApp,overall_struct,STRUCT_RASA,OVERALL+SVROpt,2.753910574048997,2.8202335452759413,0.24462949599830977,-0.1600664547240589,-0.011366454724058617,STRUCT_SHADOW_CONFIRMED
TmApp__FUSION_OVERALL__ESMFold__STRUCT_PACKING__SVROpt,TmApp,overall_struct,STRUCT_PACKING,OVERALL+SVROpt,2.776722386552982,2.8001396431269505,0.31908156989254854,-0.18016035687304965,-0.03146035687304938,STRUCT_NO_GAIN
TmApp__FUSION_OVERALL__ESMFold__STRUCT_INTERFACE__SVROpt,TmApp,overall_struct,STRUCT_INTERFACE,OVERALL+SVROpt,2.7829828958062266,2.807189752588175,0.3508100591515699,-0.17311024741182512,-0.024410247411824848,STRUCT_NO_GAIN
HIC__ESMFold__STRUCT_SURFACE_CHEM__SVROpt,HIC,structure_only,STRUCT_SURFACE_CHEM,SVROpt,0.43968592739191437,0.4488405283364788,0.03153772913006673,-0.004059471663521219,-0.0021594716635212063,STRUCT_SHADOW_EVAL
HIC__ESMFold__STRUCT_SURFACE_CHEM__ElasticNetOpt,HIC,structure_only,STRUCT_SURFACE_CHEM,ElasticNetOpt,0.465558407801101,0.48451717170072933,0.041020386750937096,0.03161717170072931,0.03351717170072932,STRUCT_SHADOW_EVAL
HIC__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt,HIC,structure_only,STRUCT_SURFACE_CHEM,RidgeOpt,0.4733210069273621,0.4980658011595116,0.03883038805767899,0.045165801159511576,0.04706580115951159,STRUCT_SHADOW_EVAL
HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_CHEM__SVROpt,HIC,plm_struct,STRUCT_SURFACE_CHEM,PLM+SVROpt,0.44379779434200317,0.4421734324711952,0.0774525752122933,-0.010726567528804798,-0.008826567528804785,STRUCT_SHADOW_CONFIRMED
HIC__FUSION_PLM__ESMFold__STRUCT_ALL__SVROpt,HIC,plm_struct,STRUCT_ALL,PLM+SVROpt,0.44495651577808737,0.4480839950510321,0.07796720835278208,-0.004816004948967945,-0.002916004948967932,STRUCT_SHADOW_CONFIRMED
HIC__FUSION_PLM__ESMFold__STRUCT_SURFACE_ALL__SVROpt,HIC,plm_struct,STRUCT_SURFACE_ALL,PLM+SVROpt,0.44729878709855386,0.4421067935405875,0.07661652551351301,-0.010793206459412508,-0.008893206459412495,STRUCT_SHADOW_CONFIRMED
HIC__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__SVROpt,HIC,overall_struct,STRUCT_SURFACE_ALL,OVERALL+SVROpt,0.4405241930414688,0.43839700086131755,0.07988678010048869,-0.01450299913868247,-0.012602999138682458,STRUCT_SHADOW_CONFIRMED
HIC__FUSION_OVERALL__ESMFold__STRUCT_ALL__SVROpt,HIC,overall_struct,STRUCT_ALL,OVERALL+SVROpt,0.44075593427384413,0.438833762781485,0.07815736124285896,-0.01406623721851502,-0.012166237218515008,STRUCT_SHADOW_CONFIRMED
HIC__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_CHEM__SVROpt,HIC,overall_struct,STRUCT_SURFACE_CHEM,OVERALL+SVROpt,0.4438110499409789,0.43930950560326193,0.07621077268437135,-0.013590494396738095,-0.011690494396738083,STRUCT_SHADOW_CONFIRMED
