id,fold,y_true,y_pred,residual,experiment_id
ADI-37123,1,8.566,8.859051759984707,-0.29305175998470645,HIC__ADV_SURFACE_PATCH__SVROpt
ADI-38499,0,9.901,9.0203849065716,0.8806150934283998,HIC__ADV_SURFACE_PATCH__SVROpt
ADI-38501,4,8.959,9.482558755675125,-0.5235587556751256,HIC__ADV_SURFACE_PATCH__SVROpt
ADI-38502,4,8.886,9.399686037396197,-0.513686037396198,HIC__ADV_SURFACE_PATCH__SVROpt
ADI-45379,1,8.794,8.918089939154337,-0.12408993915433619,HIC__ADV_SURFACE_PATCH__SVROpt
ADI-45388,0,8.984,9.293722483016015,-0.30972248301601546,HIC__ADV_SURFACE_PATCH__SVROpt
ADI-45389,0,8.857,8.993020165514157,-0.1360201655141573,HIC__ADV_SURFACE_PATCH__SVROpt
ADI-45390,3,8.809,8.872361305791426,-0.0633613057914264,HIC__ADV_SURFACE_PATCH__SVROpt
ADI-45391,0,9.153,8.913821456517194,0.2391785434828062,HIC__ADV_SURFACE_PATCH__SVROpt
ADI-45402,3,8.736,9.17157042118652,-0.4355704211865188,HIC__ADV_SURFACE_PATCH__SVROpt
ADI-45406,1,8.78,9.240990690109998,-0.46099069010999827,HIC__ADV_SURFACE_PATCH__SVROpt
ADI-45408,2,8.964,8.966756681243675,-0.0027566812436745636,HIC__ADV_SURFACE_PATCH__SVROpt
ADI-45422,3,10.143,9.19215672449516,0.950843275504841,HIC__ADV_SURFACE_PATCH__SVROpt
ADI-45425,0,11.09,9.621991128739047,1.4680088712609525,HIC__ADV_SURFACE_PATCH__SVROpt
ADI-45430,0,8.799,8.995051626336409,-0.19605162633640916,HIC__ADV_SURFACE_PATCH__SVROpt
ADI-45435,1,11.905,9.503166700477612,2.401833299522387,HIC__ADV_SURFACE_PATCH__SVROpt
ADI-45439,0,8.736,9.211314488548556,-0.4753144885485554,HIC__ADV_SURFACE_PATCH__SVROpt
ADI-45440,1,9.017,9.312955927461969,-0.29595592746196964,HIC__ADV_SURFACE_PATCH__SVROpt
ADI-45450,3,8.717,9.180581618326666,-0.4635816183266659,HIC__ADV_SURFACE_PATCH__SVROpt
ADI-45451,3,11.138,9.275411424920495,1.8625885750795046,HIC__ADV_SURFACE_PATCH__SVROpt
