id,fold,y_true,y_pred,residual,experiment_id
ADI-37123,1,8.566,9.125897603079185,-0.5598976030791842,HIC__FUSION_S3INC__ADV_ELECTROSTATICS__SVROpt
ADI-38499,0,9.901,9.149825728630596,0.7511742713694041,HIC__FUSION_S3INC__ADV_ELECTROSTATICS__SVROpt
ADI-38501,4,8.959,9.107596752870023,-0.1485967528700236,HIC__FUSION_S3INC__ADV_ELECTROSTATICS__SVROpt
ADI-38502,4,8.886,8.803227097138477,0.08277290286152272,HIC__FUSION_S3INC__ADV_ELECTROSTATICS__SVROpt
ADI-45379,1,8.794,8.889760696793624,-0.09576069679362398,HIC__FUSION_S3INC__ADV_ELECTROSTATICS__SVROpt
ADI-45388,0,8.984,9.205990247319093,-0.22199024731909311,HIC__FUSION_S3INC__ADV_ELECTROSTATICS__SVROpt
ADI-45389,0,8.857,9.309027490238574,-0.45202749023857436,HIC__FUSION_S3INC__ADV_ELECTROSTATICS__SVROpt
ADI-45390,3,8.809,8.79784179711052,0.01115820288947944,HIC__FUSION_S3INC__ADV_ELECTROSTATICS__SVROpt
ADI-45391,0,9.153,9.215939181432782,-0.06293918143278177,HIC__FUSION_S3INC__ADV_ELECTROSTATICS__SVROpt
ADI-45402,3,8.736,8.843075182541106,-0.10707518254110582,HIC__FUSION_S3INC__ADV_ELECTROSTATICS__SVROpt
ADI-45406,1,8.78,9.1658418126456,-0.3858418126455998,HIC__FUSION_S3INC__ADV_ELECTROSTATICS__SVROpt
ADI-45408,2,8.964,9.085649621313118,-0.12164962131311796,HIC__FUSION_S3INC__ADV_ELECTROSTATICS__SVROpt
ADI-45422,3,10.143,9.392654663739734,0.750345336260267,HIC__FUSION_S3INC__ADV_ELECTROSTATICS__SVROpt
ADI-45425,0,11.09,9.85259928680534,1.2374007131946598,HIC__FUSION_S3INC__ADV_ELECTROSTATICS__SVROpt
ADI-45430,0,8.799,8.960534079173453,-0.1615340791734532,HIC__FUSION_S3INC__ADV_ELECTROSTATICS__SVROpt
ADI-45435,1,11.905,9.885063719611807,2.019936280388192,HIC__FUSION_S3INC__ADV_ELECTROSTATICS__SVROpt
ADI-45439,0,8.736,8.956938878030021,-0.22093887803002055,HIC__FUSION_S3INC__ADV_ELECTROSTATICS__SVROpt
ADI-45440,1,9.017,9.26594740330046,-0.24894740330046083,HIC__FUSION_S3INC__ADV_ELECTROSTATICS__SVROpt
ADI-45450,3,8.717,9.195309038493043,-0.47830903849304285,HIC__FUSION_S3INC__ADV_ELECTROSTATICS__SVROpt
ADI-45451,3,11.138,10.08357487399161,1.0544251260083897,HIC__FUSION_S3INC__ADV_ELECTROSTATICS__SVROpt
ADI-45453,3,9.357,9.138133185220514,0.218866814779485,HIC__FUSION_S3INC__ADV_ELECTROSTATICS__SVROpt
ADI-45454,4,8.974,8.585537490244976,0.3884625097550245,HIC__FUSION_S3INC__ADV_ELECTROSTATICS__SVROpt
ADI-45455,2,8.717,9.04990140517179,-0.3329014051717891,HIC__FUSION_S3INC__ADV_ELECTROSTATICS__SVROpt
