id,fold,y_true,y_pred,residual,experiment_id
ADI-37123,1,8.566,9.056045329858822,-0.49004532985882143,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-38499,0,9.901,9.442144692769233,0.45885530723076684,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-38501,4,8.959,9.631261323348523,-0.6722613233485237,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-38502,4,8.886,8.471044599001853,0.41495540099814576,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45379,1,8.794,9.103631238747809,-0.3096312387478086,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45388,0,8.984,9.641404340857708,-0.6574043408577079,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45389,0,8.857,9.539204551902369,-0.6822045519023696,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45390,3,8.809,8.354571117428046,0.45442888257195335,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45391,0,9.153,9.584591057981076,-0.4315910579810751,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45402,3,8.736,8.80526289874748,-0.06926289874748015,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45406,1,8.78,9.692582289839162,-0.9125822898391629,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45408,2,8.964,9.221249694674507,-0.2572496946745062,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45422,3,10.143,9.745174113935102,0.3978258860648989,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45425,0,11.09,10.557897912956804,0.5321020870431958,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45430,0,8.799,9.097263665472617,-0.29826366547261784,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45435,1,11.905,10.769853013487232,1.1351469865127672,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45439,0,8.736,8.909266335809559,-0.17326633580955786,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45440,1,9.017,9.84340573576746,-0.8264057357674606,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45450,3,8.717,9.130023790083541,-0.41302379008354073,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45451,3,11.138,11.125671082189188,0.012328917810812356,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45453,3,9.357,9.483017968914643,-0.12601796891464367,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45454,4,8.974,8.100188816838948,0.8738111831610524,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45455,2,8.717,8.774930314910106,-0.05793031491010581,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45461,1,9.202,9.331501476571207,-0.1295014765712068,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45463,0,8.916,9.58556510098219,-0.6695651009821901,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45464,0,8.77,8.05513177624708,0.7148682237529194,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45465,1,8.755,9.031621624823133,-0.27662162482313235,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45479,2,9.003,9.180491250879797,-0.17749125087979678,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45480,3,9.212,10.055764991419025,-0.8437649914190253,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45488,0,9.275,9.416406466161856,-0.1414064661618557,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
ADI-45490,0,9.144,9.57651578977843,-0.43251578977842975,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__RidgeOpt
