id,fold,y_true,y_pred,residual,experiment_id
ADI-37123,1,69.0,69.03471834866686,-0.03471834866685697,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-38499,0,65.5,66.44701391191508,-0.9470139119150787,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-38501,4,64.5,68.25474643872882,-3.754746438728816,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-38502,4,66.0,71.26829542829162,-5.268295428291623,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45379,1,66.0,69.23277081093309,-3.23277081093309,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45388,0,72.5,71.68635611055389,0.8136438894461122,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45389,0,67.5,69.02970682110485,-1.5297068211048526,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45390,3,73.0,68.73753212675689,4.262467873243111,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45391,0,68.5,69.02860241548697,-0.5286024154869722,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45402,3,68.5,72.16128419450361,-3.661284194503608,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45406,1,69.5,70.43860296815402,-0.9386029681540151,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45408,2,75.0,72.24668030629464,2.7533196937053646,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45422,3,72.0,70.75861208745772,1.2413879125422795,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45425,0,74.0,70.15291324378293,3.8470867562170667,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45430,0,80.0,72.79040597977408,7.209594020225921,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45435,1,76.5,72.12078979727477,4.379210202725233,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45439,0,67.5,67.55505326019649,-0.055053260196487486,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45440,1,67.0,67.02237053261561,-0.022370532615610728,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45450,3,70.5,67.84405549916656,2.655944500833442,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45451,3,69.0,70.56382428089006,-1.56382428089006,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45453,3,61.5,67.24377037166542,-5.74377037166542,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45454,4,69.0,71.723131140173,-2.7231311401729954,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45455,2,57.5,70.17240533587201,-12.672405335872014,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45461,1,68.5,72.13453265540566,-3.634532655405664,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45463,0,74.5,67.41363100774846,7.086368992251536,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45464,0,70.0,70.99795745080235,-0.9979574508023461,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45465,1,73.5,69.76979950397319,3.7302004960268107,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45479,2,73.0,69.07708759648389,3.922912403516108,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45480,3,83.5,70.5515652550758,12.9484347449242,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45488,0,64.5,70.83748117958037,-6.337481179580365,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45490,0,69.5,67.07701336557659,2.4229866344234097,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45491,2,74.0,69.66486187622696,4.335138123773035,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45493,4,75.0,69.33045465838812,5.6695453416118795,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45495,0,73.5,70.23238164255056,3.267618357449436,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45497,2,71.0,70.88246974464394,0.11753025535605843,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-45499,4,68.5,72.14581106987828,-3.6458110698782775,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-46677,3,68.0,69.64149656798416,-1.6414965679841629,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-46682,3,70.5,68.07766978421478,2.422330215785223,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-46684,2,69.0,73.57461517545025,-4.574615175450248,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-46685,0,68.5,68.8727373535088,-0.37273735350879633,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-46690,0,73.5,69.84996424265326,3.6500357573467426,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-46695,4,70.5,70.33996261509775,0.16003738490225317,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-46697,3,65.0,70.36561416767813,-5.365614167678132,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-46704,2,68.5,70.21492179558923,-1.714921795589234,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-46705,4,74.0,72.20549382255601,1.794506177443992,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-46708,2,69.5,72.49563611756453,-2.99563611756453,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-46710,1,72.5,75.55447000332619,-3.0544700033261876,TmApp__ADV_TMAPP_ALL__RidgeOpt
ADI-47054,4,71.0,67.16258790995252,3.8374120900474793,TmApp__ADV_TMAPP_ALL__RidgeOpt
