id,fold,y_true,y_pred,residual,experiment_id
ADI-37123,1,69.0,73.45474435761447,-4.454744357614473,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-38499,0,65.5,65.41424064821857,0.08575935178143368,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-38501,4,64.5,71.85549461013235,-7.355494610132354,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-38502,4,66.0,74.07249887412668,-8.07249887412668,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45379,1,66.0,65.5930697188361,0.40693028116389485,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45388,0,72.5,70.3720459105103,2.1279540894897053,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45389,0,67.5,68.74612108360797,-1.2461210836079744,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45390,3,73.0,66.70820940290238,6.2917905970976165,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45391,0,68.5,69.47066300903376,-0.9706630090337569,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45402,3,68.5,73.89402585260463,-5.394025852604628,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45406,1,69.5,70.53876804081575,-1.0387680408157536,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45408,2,75.0,75.25364422591984,-0.25364422591984237,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45422,3,72.0,70.89415149189762,1.1058485081023832,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45425,0,74.0,72.31570836449801,1.6842916355019923,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45430,0,80.0,80.42998981294336,-0.42998981294336147,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45435,1,76.5,77.11644298656321,-0.6164429865632144,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45439,0,67.5,67.64634114242416,-0.14634114242416274,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45440,1,67.0,62.510567063201556,4.489432936798444,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45450,3,70.5,67.62635822058778,2.8736417794122247,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45451,3,69.0,68.91305082058382,0.0869491794161803,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45453,3,61.5,66.70001789531693,-5.2000178953169325,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45454,4,69.0,68.1494845374506,0.8505154625493958,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45455,2,57.5,66.3574425846456,-8.857442584645597,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45461,1,68.5,73.50885965113737,-5.008859651137371,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45463,0,74.5,66.62790095764845,7.87209904235155,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45464,0,70.0,69.45201493493289,0.5479850650671096,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45465,1,73.5,71.81493281537043,1.685067184629574,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45479,2,73.0,71.84537697892698,1.1546230210730215,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45480,3,83.5,73.89567192724945,9.604328072750548,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45488,0,64.5,67.81713414036079,-3.3171341403607926,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45490,0,69.5,67.32078519542503,2.1792148045749684,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45491,2,74.0,73.10251585505148,0.8974841449485211,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45493,4,75.0,75.68912571926856,-0.68912571926856,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45495,0,73.5,75.42999381918466,-1.9299938191846593,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45497,2,71.0,78.66867992564967,-7.66867992564967,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-45499,4,68.5,75.93846762935304,-7.438467629353042,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-46677,3,68.0,66.83330893988128,1.1666910601187226,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-46682,3,70.5,71.38059802871683,-0.8805980287168325,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-46684,2,69.0,69.99294636919666,-0.9929463691966589,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-46685,0,68.5,65.24134613480386,3.2586538651961376,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-46690,0,73.5,75.88830497612541,-2.3883049761254114,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-46695,4,70.5,71.08104432266022,-0.5810443226602189,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-46697,3,65.0,67.69504435131469,-2.695044351314692,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-46704,2,68.5,66.9818324836431,1.5181675163568968,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-46705,4,74.0,69.59410382924221,4.405896170757785,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-46708,2,69.5,72.67291408215596,-3.1729140821559554,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-46710,1,72.5,76.3185593243941,-3.8185593243941014,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-47054,4,71.0,68.03928550952965,2.9607144904703517,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-47060,4,65.0,63.41106404312092,1.5889359568790766,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-47061,3,66.0,69.18632333927138,-3.1863233392713823,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-47063,0,64.5,64.0748712581123,0.4251287418877041,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-47064,1,66.5,64.5710336924481,1.928966307551903,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-47065,1,62.5,70.66375946724652,-8.163759467246521,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-47066,1,71.0,71.69147718524836,-0.6914771852483597,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
ADI-47068,2,70.5,70.91311037077894,-0.41311037077893786,TmApp__FUSION_S3INC__ADV_INVFOLD__RidgeOpt
