feature_name,family,structure_source,definition,unit,missing_count,label_independent,notes
propka_n_ionizable,ADV_PROPKA,ESMFold_native,propka_n_ionizable,mixed,0,True,Stage4
propka_net_charge,ADV_PROPKA,ESMFold_native,propka_net_charge,mixed,0,True,Stage4
propka_abs_charge,ADV_PROPKA,ESMFold_native,propka_abs_charge,mixed,0,True,Stage4
propka_mean_pka,ADV_PROPKA,ESMFold_native,propka_mean_pka,mixed,0,True,Stage4
propka_exposed_net_charge,ADV_PROPKA,ESMFold_native,propka_exposed_net_charge,mixed,0,True,Stage4
propka_exposed_pos,ADV_PROPKA,ESMFold_native,propka_exposed_pos,mixed,0,True,Stage4
propka_exposed_neg,ADV_PROPKA,ESMFold_native,propka_exposed_neg,mixed,0,True,Stage4
propka_VH_net_charge,ADV_PROPKA,ESMFold_native,propka_VH_net_charge,mixed,0,True,Stage4
propka_VL_net_charge,ADV_PROPKA,ESMFold_native,propka_VL_net_charge,mixed,0,True,Stage4
pqr_n_atoms,ADV_PQR_CHARGE,ESMFold_native,pqr_n_atoms,mixed,0,True,Stage4
pqr_net_charge,ADV_PQR_CHARGE,ESMFold_native,pqr_net_charge,mixed,0,True,Stage4
pqr_abs_charge,ADV_PQR_CHARGE,ESMFold_native,pqr_abs_charge,mixed,0,True,Stage4
pqr_charge_std,ADV_PQR_CHARGE,ESMFold_native,pqr_charge_std,mixed,0,True,Stage4
pqr_pos_charge_frac,ADV_PQR_CHARGE,ESMFold_native,pqr_pos_charge_frac,mixed,0,True,Stage4
pqr_neg_charge_frac,ADV_PQR_CHARGE,ESMFold_native,pqr_neg_charge_frac,mixed,0,True,Stage4
adv_max_local_hydrophobic_sasa,ADV_SURFACE_PATCH,ESMFold_native,adv_max_local_hydrophobic_sasa,mixed,0,True,Stage4
adv_mean_local_hydrophobic_sasa,ADV_SURFACE_PATCH,ESMFold_native,adv_mean_local_hydrophobic_sasa,mixed,0,True,Stage4
adv_topk_local_hydrophobic_sasa,ADV_SURFACE_PATCH,ESMFold_native,adv_topk_local_hydrophobic_sasa,mixed,0,True,Stage4
adv_max_local_aromatic_sasa,ADV_SURFACE_PATCH,ESMFold_native,adv_max_local_aromatic_sasa,mixed,0,True,Stage4
adv_mean_local_aromatic_sasa,ADV_SURFACE_PATCH,ESMFold_native,adv_mean_local_aromatic_sasa,mixed,0,True,Stage4
adv_spatial_hydrophobicity_sum,ADV_SURFACE_PATCH,ESMFold_native,adv_spatial_hydrophobicity_sum,mixed,0,True,Stage4
adv_spatial_hydrophobicity_max,ADV_SURFACE_PATCH,ESMFold_native,adv_spatial_hydrophobicity_max,mixed,0,True,Stage4
adv_hydrophobic_patch_n,ADV_SURFACE_PATCH,ESMFold_native,adv_hydrophobic_patch_n,mixed,0,True,Stage4
adv_hydrophobic_patch_max_size,ADV_SURFACE_PATCH,ESMFold_native,adv_hydrophobic_patch_max_size,mixed,0,True,Stage4
adv_hydrophobic_patch_max_sasa,ADV_SURFACE_PATCH,ESMFold_native,adv_hydrophobic_patch_max_sasa,mixed,0,True,Stage4
adv_hydrophobic_patch_mean_compact,ADV_SURFACE_PATCH,ESMFold_native,adv_hydrophobic_patch_mean_compact,mixed,0,True,Stage4
adv_hydrophobic_patch_max_extent,ADV_SURFACE_PATCH,ESMFold_native,adv_hydrophobic_patch_max_extent,mixed,0,True,Stage4
adv_aromatic_patch_n,ADV_SURFACE_PATCH,ESMFold_native,adv_aromatic_patch_n,mixed,0,True,Stage4
adv_aromatic_patch_max_size,ADV_SURFACE_PATCH,ESMFold_native,adv_aromatic_patch_max_size,mixed,0,True,Stage4
adv_aromatic_patch_max_sasa,ADV_SURFACE_PATCH,ESMFold_native,adv_aromatic_patch_max_sasa,mixed,0,True,Stage4
adv_aromatic_patch_mean_compact,ADV_SURFACE_PATCH,ESMFold_native,adv_aromatic_patch_mean_compact,mixed,0,True,Stage4
adv_aromatic_patch_max_extent,ADV_SURFACE_PATCH,ESMFold_native,adv_aromatic_patch_max_extent,mixed,0,True,Stage4
adv_mixed_arom_hydro_patch_n,ADV_SURFACE_PATCH,ESMFold_native,adv_mixed_arom_hydro_patch_n,mixed,0,True,Stage4
adv_mixed_arom_hydro_patch_max_sasa,ADV_SURFACE_PATCH,ESMFold_native,adv_mixed_arom_hydro_patch_max_sasa,mixed,0,True,Stage4
salt_bridge_count,ADV_INTERACTIONS,ESMFold_native,salt_bridge_count,mixed,0,True,Stage4
salt_bridge_interface,ADV_INTERACTIONS,ESMFold_native,salt_bridge_interface,mixed,0,True,Stage4
hbond_proxy_count,ADV_INTERACTIONS,ESMFold_native,hbond_proxy_count,mixed,0,True,Stage4
hbond_proxy_buried,ADV_INTERACTIONS,ESMFold_native,hbond_proxy_buried,mixed,0,True,Stage4
hbond_proxy_interface,ADV_INTERACTIONS,ESMFold_native,hbond_proxy_interface,mixed,0,True,Stage4
clash_proxy_count,ADV_INTERACTIONS,ESMFold_native,clash_proxy_count,mixed,0,True,Stage4
heavy_contact_count,ADV_INTERACTIONS,ESMFold_native,heavy_contact_count,mixed,0,True,Stage4
contact_density,ADV_INTERACTIONS,ESMFold_native,contact_density,mixed,0,True,Stage4
core_hydrophobic_contacts,ADV_INTERACTIONS,ESMFold_native,core_hydrophobic_contacts,mixed,0,True,Stage4
buried_frac,ADV_INTERACTIONS,ESMFold_native,buried_frac,mixed,0,True,Stage4
packing_degree_mean,ADV_INTERACTIONS,ESMFold_native,packing_degree_mean,mixed,0,True,Stage4
packing_degree_q10,ADV_INTERACTIONS,ESMFold_native,packing_degree_q10,mixed,0,True,Stage4
packing_degree_q90,ADV_INTERACTIONS,ESMFold_native,packing_degree_q90,mixed,0,True,Stage4
low_packed_frac,ADV_OTHER,ESMFold_native,low_packed_frac,mixed,0,True,Stage4
interface_contact_pairs,ADV_INTERACTIONS,ESMFold_native,interface_contact_pairs,mixed,0,True,Stage4
interface_contact_density,ADV_INTERACTIONS,ESMFold_native,interface_contact_density,mixed,0,True,Stage4
hydrophobic_interface_sasa_proxy,ADV_INTERACTIONS,ESMFold_native,hydrophobic_interface_sasa_proxy,mixed,0,True,Stage4
aromatic_interface_sasa_proxy,ADV_INTERACTIONS,ESMFold_native,aromatic_interface_sasa_proxy,mixed,0,True,Stage4
vh_vl_center_dist,ADV_INTERACTIONS,ESMFold_native,vh_vl_center_dist,mixed,0,True,Stage4
cavity_proxy_n_sites,ADV_CAVITY,ESMFold_native,cavity_proxy_n_sites,mixed,0,True,Stage4
cavity_proxy_frac,ADV_CAVITY,ESMFold_native,cavity_proxy_frac,mixed,0,True,Stage4
cavity_proxy_volume,ADV_CAVITY,ESMFold_native,cavity_proxy_volume,mixed,0,True,Stage4
buried_unsatisfied_polar_proxy,ADV_UNSAT_POLAR,ESMFold_native,buried_unsatisfied_polar_proxy,mixed,0,True,Stage4
buried_unsatisfied_polar_proxy_frac,ADV_UNSAT_POLAR,ESMFold_native,buried_unsatisfied_polar_proxy_frac,mixed,0,True,Stage4
apbs_mean_potential,ADV_ELECTROSTATICS,ESMFold_native,apbs_mean_potential,mixed,0,True,Stage4
apbs_median_potential,ADV_ELECTROSTATICS,ESMFold_native,apbs_median_potential,mixed,0,True,Stage4
apbs_std_potential,ADV_ELECTROSTATICS,ESMFold_native,apbs_std_potential,mixed,0,True,Stage4
apbs_q10_potential,ADV_ELECTROSTATICS,ESMFold_native,apbs_q10_potential,mixed,0,True,Stage4
apbs_q90_potential,ADV_ELECTROSTATICS,ESMFold_native,apbs_q90_potential,mixed,0,True,Stage4
apbs_abs_mean_potential,ADV_ELECTROSTATICS,ESMFold_native,apbs_abs_mean_potential,mixed,0,True,Stage4
apbs_pos_frac,ADV_ELECTROSTATICS,ESMFold_native,apbs_pos_frac,mixed,0,True,Stage4
apbs_neg_frac,ADV_ELECTROSTATICS,ESMFold_native,apbs_neg_frac,mixed,0,True,Stage4
apbs_strong_pos_frac,ADV_ELECTROSTATICS,ESMFold_native,apbs_strong_pos_frac,mixed,0,True,Stage4
apbs_strong_neg_frac,ADV_ELECTROSTATICS,ESMFold_native,apbs_strong_neg_frac,mixed,0,True,Stage4
apbs_pos_patch_count,ADV_ELECTROSTATICS,ESMFold_native,apbs_pos_patch_count,mixed,0,True,Stage4
apbs_pos_max_patch,ADV_ELECTROSTATICS,ESMFold_native,apbs_pos_max_patch,mixed,0,True,Stage4
apbs_neg_patch_count,ADV_ELECTROSTATICS,ESMFold_native,apbs_neg_patch_count,mixed,0,True,Stage4
apbs_neg_max_patch,ADV_ELECTROSTATICS,ESMFold_native,apbs_neg_max_patch,mixed,0,True,Stage4
invfold_A_ll,ADV_INVFOLD,ESMFold_native,invfold_A_ll,mixed,0,True,Stage4
invfold_A_nll,ADV_INVFOLD,ESMFold_native,invfold_A_nll,mixed,0,True,Stage4
invfold_A_len,ADV_INVFOLD,ESMFold_native,invfold_A_len,mixed,0,True,Stage4
invfold_B_ll,ADV_INVFOLD,ESMFold_native,invfold_B_ll,mixed,0,True,Stage4
invfold_B_nll,ADV_INVFOLD,ESMFold_native,invfold_B_nll,mixed,0,True,Stage4
invfold_B_len,ADV_INVFOLD,ESMFold_native,invfold_B_len,mixed,0,True,Stage4
invfold_fv_mean_ll,ADV_INVFOLD,ESMFold_native,invfold_fv_mean_ll,mixed,0,True,Stage4
invfold_fv_mean_nll,ADV_INVFOLD,ESMFold_native,invfold_fv_mean_nll,mixed,0,True,Stage4
invfold_ll_var,ADV_INVFOLD,ESMFold_native,invfold_ll_var,mixed,0,True,Stage4
invfold_worst_chain_ll,ADV_INVFOLD,ESMFold_native,invfold_worst_chain_ll,mixed,0,True,Stage4
