id,fold,y_true,y_pred
ADI-37123,1,8.566,8.965755768706003
ADI-38499,0,9.901,9.076232109829597
ADI-38501,4,8.959,9.109889454409021
ADI-38502,4,8.886,8.825509065435025
ADI-45379,1,8.794,8.86051084477156
ADI-45388,0,8.984,9.100116690678862
ADI-45389,0,8.857,9.134635555453968
ADI-45390,3,8.809,8.773780079113873
ADI-45391,0,9.153,9.07824413093659
ADI-45402,3,8.736,8.814731092429259
ADI-45406,1,8.78,9.038064341207157
ADI-45408,2,8.964,8.994217774791988
ADI-45422,3,10.143,9.290978905941262
ADI-45425,0,11.09,9.493938081085819
ADI-45430,0,8.799,9.010842661813353
ADI-45435,1,11.905,9.626115439519799
ADI-45439,0,8.736,8.97689346133937
ADI-45440,1,9.017,9.156481768103177
ADI-45450,3,8.717,8.99352264278824
ADI-45451,3,11.138,9.758417087743943
ADI-45453,3,9.357,9.119133785984113
ADI-45454,4,8.974,8.63036358255548
ADI-45455,2,8.717,8.944844334696574
ADI-45461,1,9.202,9.223702968711818
ADI-45463,0,8.916,8.954180984389426
ADI-45464,0,8.77,8.792091516459525
ADI-45465,1,8.755,9.130344931394163
ADI-45479,2,9.003,9.18206414913035
ADI-45480,3,9.212,9.372966846572158
ADI-45488,0,9.275,9.07480943131458
ADI-45490,0,9.144,9.19088723951703
ADI-45491,2,9.406,9.326166094817118
ADI-45493,4,10.406,9.450197131270757
ADI-45495,0,10.381,9.19860570882227
ADI-45497,2,12.74,9.737321139037576
ADI-45499,4,12.216,9.685085308556811
ADI-46677,3,9.406,8.809191129125495
ADI-46682,3,8.833,8.829526874931442
ADI-46684,2,9.037,9.287850975781273
ADI-46685,0,8.843,9.002884425627375
ADI-46690,0,8.819,8.7786129524226
ADI-46695,4,9.013,8.774724584313768
ADI-46697,3,9.095,9.082600667149094
ADI-46704,2,8.78,9.208564001911551
ADI-46705,4,9.304,9.327982650678068
ADI-46708,2,8.765,9.044282061949476
ADI-46710,1,9.1,9.292552418194228
ADI-47054,4,8.523,9.018767046586285
ADI-47060,4,8.707,8.843695010285614
ADI-47061,3,8.731,8.80028887508939
ADI-47063,0,8.756,8.916296624547215
ADI-47064,1,8.77,9.096128279574316
ADI-47065,1,8.775,9.112511063896449
ADI-47066,1,8.775,9.057188072126504
ADI-47068,2,8.8,9.16834260298737
ADI-47069,3,8.804,9.27285574055512
ADI-47072,3,8.823,8.868937230698027
ADI-47073,4,8.829,8.82740870584767
ADI-47074,0,8.834,9.102559520447734
ADI-47075,3,8.838,8.771516755925497
ADI-47076,1,8.857,9.409762918171609
ADI-47078,2,8.867,8.805688821042807
ADI-47079,2,8.877,9.377832691123292
ADI-47081,1,8.906,8.93742914467928
ADI-47087,4,8.93,9.095242170663075
ADI-47089,3,8.94,9.339399763904773
ADI-47091,2,8.959,9.242815856562917
ADI-47094,0,9.003,9.038003095179313
ADI-47095,1,9.022,9.026654795327605
ADI-47096,2,9.027,9.360789607169078
ADI-47097,1,9.037,8.935805068960615
ADI-47098,2,9.066,9.24506244939624
ADI-47099,4,9.071,9.306731981711172
ADI-47100,3,9.081,8.9131177135427
ADI-47102,4,9.115,8.767947889041725
ADI-47103,3,9.119,8.888706599246248
ADI-47105,1,9.13,8.98021148687242
ADI-47111,3,9.173,8.855198777586239
ADI-47114,0,9.236,8.879559379083963
ADI-47117,4,9.25,9.526469159188263
ADI-47118,3,9.25,9.095366471465118
ADI-47122,0,9.285,9.083032208083218
ADI-47123,3,9.309,9.4197170532731
ADI-47130,2,9.522,9.529023166310015
ADI-47131,2,9.527,9.289198126617034
ADI-47132,3,9.557,9.246092174169268
ADI-47134,2,9.585,9.262568154982535
ADI-47139,2,9.75,9.523515045354223
ADI-47141,1,9.833,9.124341649095342
ADI-47145,0,9.978,9.424831859434725
ADI-47146,0,10.032,9.362123164361815
ADI-47147,4,10.076,9.73449110881671
ADI-47149,1,10.503,9.186378031692074
ADI-47151,4,10.546,8.941073400952495
ADI-47153,3,11.148,9.2487705127711
ADI-47154,0,10.949,9.576074167074761
ADI-47155,1,10.984,9.288435631843667
ADI-47156,1,10.541,9.42159200503125
ADI-47158,1,11.386,9.550833486365658
ADI-47159,3,10.41,9.462292170401916
ADI-47162,3,11.866,9.37567899166044
ADI-47163,2,12.148,9.200174631367762
ADI-47165,1,10.187,9.47043907742028
ADI-47176,4,8.697,8.794841599058238
ADI-47177,2,8.717,9.256941986358118
ADI-47180,2,8.727,9.002831000259485
ADI-47181,0,9.77,9.147622598743752
ADI-47183,4,8.756,8.992050676052571
ADI-47187,2,9.119,9.388692846161998
ADI-47188,1,8.857,8.97404554619752
ADI-47189,4,8.862,8.956701799896894
ADI-47195,1,8.906,9.382792759173078
ADI-47199,1,8.931,9.00470779885446
ADI-47204,1,8.965,9.488604430043349
ADI-47207,3,9.008,8.835386300888066
ADI-47209,1,9.037,8.928860607399862
ADI-47212,4,9.081,9.52041491647318
ADI-47213,1,9.081,9.040718913837445
ADI-47215,0,9.086,9.160773023966126
ADI-47216,4,9.096,9.289015366445811
ADI-47218,2,9.119,9.346223161390858
ADI-47219,4,9.144,9.101897314302446
ADI-47223,4,9.202,9.379490341844447
ADI-47224,3,9.207,9.091824097752223
ADI-47225,0,9.236,9.410134502089754
ADI-47227,2,9.246,9.486047822043744
ADI-47228,2,9.265,9.487711740145368
ADI-47230,3,9.318,8.677500435303369
ADI-47233,0,9.367,9.513159329150884
ADI-47234,1,9.377,9.049281521527853
ADI-47236,1,9.406,8.777566463060904
ADI-47238,1,9.6,9.258441761863427
ADI-47240,4,9.644,9.163064384653914
ADI-47241,1,9.648,9.44562866733293
ADI-47244,0,9.756,9.605740748005612
ADI-47247,3,9.78,9.525880694672859
ADI-47249,2,9.44,9.577124652340405
ADI-47250,3,9.93,9.007446528001852
ADI-47252,4,9.94,9.57252261548308
ADI-47254,4,9.998,9.30141574064999
ADI-47258,0,9.372,9.363234148776755
ADI-47259,2,10.717,9.197286640796154
ADI-47260,2,10.74,9.85854976572443
ADI-47262,0,11.046,9.172327612285718
ADI-47265,4,11.886,9.454471865318716
ADI-47267,4,9.26,9.253409972322139
ADI-47280,0,8.625,9.149382467151469
ADI-47283,2,8.683,8.899327898069286
ADI-47284,4,8.717,9.020714781955817
ADI-47285,4,8.751,9.148084291828368
ADI-47288,2,8.843,8.802851542955496
ADI-47289,3,8.877,9.032415266759772
ADI-47292,2,8.935,8.950308317795022
ADI-47297,3,9.008,8.97943279979982
ADI-47300,3,9.076,8.964203308950488
ADI-47301,2,9.115,8.906134973221768
ADI-47302,0,9.149,9.012411300817412
ADI-47308,1,9.275,9.093459815637488
ADI-47309,0,9.284,9.140193342324146
ADI-47312,4,9.391,9.163281759037346
ADI-47316,4,9.605,9.12235898569315
ADI-47317,2,9.833,9.28266366050187
