id,fold,y_true,y_pred
ADI-37123,1,8.566,8.918067051837472
ADI-38499,0,9.901,9.16752723567317
ADI-38501,4,8.959,9.24807988733811
ADI-38502,4,8.886,9.040642609706458
ADI-45379,1,8.794,8.748165097502449
ADI-45388,0,8.984,9.104477449720575
ADI-45389,0,8.857,9.188663530037903
ADI-45390,3,8.809,8.721008185639578
ADI-45391,0,9.153,9.064939484576463
ADI-45402,3,8.736,8.841857884372429
ADI-45406,1,8.78,9.14683334585559
ADI-45408,2,8.964,8.971466489583165
ADI-45422,3,10.143,9.368512908821462
ADI-45425,0,11.09,9.83552319876723
ADI-45430,0,8.799,9.02796040081199
ADI-45435,1,11.905,10.03434101141421
ADI-45439,0,8.736,8.991172423698192
ADI-45440,1,9.017,9.410084531354883
ADI-45450,3,8.717,9.060411050901013
ADI-45451,3,11.138,9.921542547758424
ADI-45453,3,9.357,8.842956155340072
ADI-45454,4,8.974,8.641993541422373
ADI-45455,2,8.717,8.983859444805937
ADI-45461,1,9.202,9.220960675152007
ADI-45463,0,8.916,8.875556902497522
ADI-45464,0,8.77,8.666044532641548
ADI-45465,1,8.755,9.255071695925551
ADI-45479,2,9.003,8.91390430802438
ADI-45480,3,9.212,9.55251636258309
ADI-45488,0,9.275,9.088203670454678
ADI-45490,0,9.144,9.159530699234049
ADI-45491,2,9.406,9.367658944820802
ADI-45493,4,10.406,9.783236779715024
ADI-45495,0,10.381,9.230346662350954
ADI-45497,2,12.74,9.942852454864335
ADI-45499,4,12.216,9.754277456579297
ADI-46677,3,9.406,8.897074499736389
ADI-46682,3,8.833,8.7255991095603
ADI-46684,2,9.037,9.424036380388927
ADI-46685,0,8.843,9.050050352012613
ADI-46690,0,8.819,8.781391044477262
ADI-46695,4,9.013,8.954442706813031
ADI-46697,3,9.095,9.096168987353717
ADI-46704,2,8.78,8.975602699911981
ADI-46705,4,9.304,9.31439024579059
ADI-46708,2,8.765,9.125185315260563
ADI-46710,1,9.1,9.354696530130457
ADI-47054,4,8.523,8.973875755766404
ADI-47060,4,8.707,8.808141570714366
ADI-47061,3,8.731,8.81912906892518
ADI-47063,0,8.756,8.842033467448353
ADI-47064,1,8.77,8.973999208556819
ADI-47065,1,8.775,8.899868935259917
ADI-47066,1,8.775,8.892499363329772
ADI-47068,2,8.8,8.967013203952774
ADI-47069,3,8.804,9.543878024215118
ADI-47072,3,8.823,8.985647189148764
ADI-47073,4,8.829,8.889232721641303
ADI-47074,0,8.834,9.184473666644468
ADI-47075,3,8.838,8.748722829390168
ADI-47076,1,8.857,9.546692925108452
ADI-47078,2,8.867,8.823833843627984
ADI-47079,2,8.877,9.457439092664693
ADI-47081,1,8.906,8.567853528994647
ADI-47087,4,8.93,9.025235742528345
ADI-47089,3,8.94,9.363354701219846
ADI-47091,2,8.959,9.227065420046696
ADI-47094,0,9.003,8.969274526292443
ADI-47095,1,9.022,8.989679529648367
ADI-47096,2,9.027,9.342666445754208
ADI-47097,1,9.037,8.747531458116125
ADI-47098,2,9.066,9.117733939599006
ADI-47099,4,9.071,9.397029720507215
ADI-47100,3,9.081,8.968769938082632
ADI-47102,4,9.115,8.880332145728593
ADI-47103,3,9.119,8.787734099103949
ADI-47105,1,9.13,8.94944914566242
ADI-47111,3,9.173,8.920774799358
ADI-47114,0,9.236,8.861309077141426
ADI-47117,4,9.25,10.114525657178461
ADI-47118,3,9.25,9.063947689917836
ADI-47122,0,9.285,9.04617708682968
ADI-47123,3,9.309,9.567896456772232
ADI-47130,2,9.522,9.57001502878871
ADI-47131,2,9.527,9.198203950283812
ADI-47132,3,9.557,9.3351788801555
ADI-47134,2,9.585,9.40869235535493
ADI-47139,2,9.75,9.62094440668308
ADI-47141,1,9.833,9.195021080952337
ADI-47145,0,9.978,9.525733691147984
ADI-47146,0,10.032,9.477607051490711
ADI-47147,4,10.076,9.887130923112716
ADI-47149,1,10.503,9.175617034726969
ADI-47151,4,10.546,9.157255950280922
ADI-47153,3,11.148,9.289355138110228
ADI-47154,0,10.949,9.685360465510056
ADI-47155,1,10.984,9.475047235715396
ADI-47156,1,10.541,9.785354748284762
ADI-47158,1,11.386,9.47437161809479
ADI-47159,3,10.41,9.55482471767157
ADI-47162,3,11.866,9.600312214826578
ADI-47163,2,12.148,8.898038263967477
ADI-47165,1,10.187,9.864676518972265
ADI-47176,4,8.697,8.890342267886773
ADI-47177,2,8.717,9.06813808249231
ADI-47180,2,8.727,9.002176194794835
ADI-47181,0,9.77,9.193622047012722
ADI-47183,4,8.756,9.026734779014628
ADI-47187,2,9.119,9.24007788253062
ADI-47188,1,8.857,9.072344489699537
ADI-47189,4,8.862,8.885696806093828
ADI-47195,1,8.906,9.44029488084739
ADI-47199,1,8.931,9.2002161005745
ADI-47204,1,8.965,9.646140233266573
ADI-47207,3,9.008,8.842611946106558
ADI-47209,1,9.037,8.813211029845707
ADI-47212,4,9.081,9.477759329220776
ADI-47213,1,9.081,9.019066861453584
ADI-47215,0,9.086,9.222436584545402
ADI-47216,4,9.096,9.211821429410477
ADI-47218,2,9.119,9.323639997400171
ADI-47219,4,9.144,9.096621805504363
ADI-47223,4,9.202,9.664517132894403
