id,fold,y_true,y_pred
ADI-37123,1,8.566,8.969162237832752
ADI-38499,0,9.901,9.318872052562028
ADI-38501,4,8.959,9.268369256922057
ADI-38502,4,8.886,9.041752852673849
ADI-45379,1,8.794,8.750062621807531
ADI-45388,0,8.984,9.318528393521099
ADI-45389,0,8.857,9.35027756375123
ADI-45390,3,8.809,8.739833133294345
ADI-45391,0,9.153,9.222510141856375
ADI-45402,3,8.736,8.85607204710886
ADI-45406,1,8.78,9.254262071637237
ADI-45408,2,8.964,9.070001198648958
ADI-45422,3,10.143,9.600772992054164
ADI-45425,0,11.09,10.256216320675282
ADI-45430,0,8.799,9.14920412652273
ADI-45435,1,11.905,10.46333504146278
ADI-45439,0,8.736,9.083882189970556
ADI-45440,1,9.017,9.609155446591256
ADI-45450,3,8.717,9.190218569828021
ADI-45451,3,11.138,10.454429924599602
ADI-45453,3,9.357,9.089055213490386
ADI-45454,4,8.974,8.550310619090137
ADI-45455,2,8.717,9.030817199736688
ADI-45461,1,9.202,9.389256581310553
ADI-45463,0,8.916,8.93827694196368
ADI-45464,0,8.77,8.684497050368527
ADI-45465,1,8.755,9.425932167965872
ADI-45479,2,9.003,9.03067163778642
ADI-45480,3,9.212,9.90732664760777
ADI-45488,0,9.275,9.280005747426245
ADI-45490,0,9.144,9.359408286306786
ADI-45491,2,9.406,9.647918210719013
ADI-45493,4,10.406,10.14132996132983
ADI-45495,0,10.381,9.49698436642731
ADI-45497,2,12.74,10.566598376922563
ADI-45499,4,12.216,10.161605931227204
ADI-46677,3,9.406,8.882282525099697
ADI-46682,3,8.833,8.806969508730207
ADI-46684,2,9.037,9.838795046661183
ADI-46685,0,8.843,9.216565318001008
ADI-46690,0,8.819,8.750840435034453
ADI-46695,4,9.013,8.949068442197923
ADI-46697,3,9.095,9.227297466289363
ADI-46704,2,8.78,9.178978222034626
ADI-46705,4,9.304,9.517538338465583
ADI-46708,2,8.765,9.237348899616087
ADI-46710,1,9.1,9.566871737823714
ADI-47054,4,8.523,9.072884815586022
ADI-47060,4,8.707,8.757748665121872
ADI-47061,3,8.731,8.796484825292092
ADI-47063,0,8.756,8.93561348510114
ADI-47064,1,8.77,9.06257559433022
ADI-47065,1,8.775,8.995360183191934
ADI-47066,1,8.775,8.958394972219349
ADI-47068,2,8.8,9.004021555085695
ADI-47069,3,8.804,9.666107809396722
ADI-47072,3,8.823,9.03590366770288
ADI-47073,4,8.829,8.900698032520031
ADI-47074,0,8.834,9.466395890251617
ADI-47075,3,8.838,8.703722575502475
ADI-47076,1,8.857,9.797520055341494
ADI-47078,2,8.867,8.755917915769217
ADI-47079,2,8.877,9.756258611905718
ADI-47081,1,8.906,8.543882340678751
ADI-47087,4,8.93,8.988976537403353
ADI-47089,3,8.94,9.631795933035816
ADI-47091,2,8.959,9.374808457858729
ADI-47094,0,9.003,9.205323387980242
ADI-47095,1,9.022,9.070229406309164
ADI-47096,2,9.027,9.567123744711648
ADI-47097,1,9.037,8.771618534707711
ADI-47098,2,9.066,9.223646316699252
ADI-47099,4,9.071,9.483977024726542
ADI-47100,3,9.081,9.004279215813009
ADI-47102,4,9.115,8.796929677834129
ADI-47103,3,9.119,8.863384880493646
ADI-47105,1,9.13,9.024701464864846
ADI-47111,3,9.173,8.982801255859078
ADI-47114,0,9.236,8.881453845508556
ADI-47117,4,9.25,10.566057161540709
ADI-47118,3,9.25,9.307839595855656
ADI-47122,0,9.285,9.235969894998334
ADI-47123,3,9.309,9.941894612445855
ADI-47130,2,9.522,9.959532336937933
ADI-47131,2,9.527,9.45259791960094
ADI-47132,3,9.557,9.665122976157123
ADI-47134,2,9.585,9.639382269601953
ADI-47139,2,9.75,10.09607276623258
ADI-47141,1,9.833,9.368487131837497
ADI-47145,0,9.978,9.80527589577927
ADI-47146,0,10.032,9.78575710157678
ADI-47147,4,10.076,10.409389534353064
ADI-47149,1,10.503,9.384918578019262
ADI-47151,4,10.546,9.089365280467536
ADI-47153,3,11.148,9.581975806094365
ADI-47154,0,10.949,10.240878202466577
ADI-47155,1,10.984,9.722184117823577
ADI-47156,1,10.541,10.1090657602584
ADI-47158,1,11.386,9.769290855143447
ADI-47159,3,10.41,9.990675600908169
ADI-47162,3,11.866,9.934396826576796
ADI-47163,2,12.148,9.010816752254172
ADI-47165,1,10.187,10.218279142982329
ADI-47176,4,8.697,8.842648366085411
ADI-47177,2,8.717,9.230227633595828
ADI-47180,2,8.727,9.086802962670497
ADI-47181,0,9.77,9.33989120800892
ADI-47183,4,8.756,9.055394857205258
ADI-47187,2,9.119,9.477741672405042
ADI-47188,1,8.857,9.176352296252205
ADI-47189,4,8.862,8.918338016375603
ADI-47195,1,8.906,9.680703880365789
