id,fold,y_true,y_pred
ADI-37123,1,8.566,8.630577141492964
ADI-38499,0,9.901,9.095157070697477
ADI-38501,4,8.959,9.197092968337474
ADI-38502,4,8.886,8.879238125711247
ADI-45379,1,8.794,8.604317972407237
ADI-45388,0,8.984,9.295517833431754
ADI-45389,0,8.857,9.15993821274584
ADI-45390,3,8.809,8.68635392028834
ADI-45391,0,9.153,9.048550953367085
ADI-45402,3,8.736,8.838162490613554
ADI-45406,1,8.78,9.020470445516555
ADI-45408,2,8.964,8.955398027773054
ADI-45422,3,10.143,9.344872039820714
ADI-45425,0,11.09,9.878143962668254
ADI-45430,0,8.799,8.995563631586162
ADI-45435,1,11.905,9.994310276356913
ADI-45439,0,8.736,9.122515549850133
ADI-45440,1,9.017,9.255278352884403
ADI-45450,3,8.717,8.978626594957499
ADI-45451,3,11.138,9.739218226609404
ADI-45453,3,9.357,9.027808480562229
ADI-45454,4,8.974,8.556612415890166
ADI-45455,2,8.717,8.991925027270518
ADI-45461,1,9.202,9.183847994836825
ADI-45463,0,8.916,9.042009082391935
ADI-45464,0,8.77,8.880679791792323
ADI-45465,1,8.755,9.14464938541974
ADI-45479,2,9.003,9.174504034841634
ADI-45480,3,9.212,9.382806041988424
ADI-45488,0,9.275,9.22875613160573
ADI-45490,0,9.144,9.15141326772055
ADI-45491,2,9.406,9.407343522647421
ADI-45493,4,10.406,9.654790502867906
ADI-45495,0,10.381,9.297500236496884
ADI-45497,2,12.74,9.93223181829478
ADI-45499,4,12.216,9.84176005801021
ADI-46677,3,9.406,8.963945231380505
ADI-46682,3,8.833,8.764546705331131
ADI-46684,2,9.037,9.435691264026062
ADI-46685,0,8.843,9.199666931100708
ADI-46690,0,8.819,8.934923627472847
ADI-46695,4,9.013,8.88599579946541
ADI-46697,3,9.095,9.074154361691196
ADI-46704,2,8.78,9.041312045279618
ADI-46705,4,9.304,9.500128009953091
ADI-46708,2,8.765,9.090310925411146
ADI-46710,1,9.1,9.528839780333197
ADI-47054,4,8.523,8.987480345708732
ADI-47060,4,8.707,8.603824538134473
ADI-47061,3,8.731,8.741227403480663
ADI-47063,0,8.756,8.972116822402716
ADI-47064,1,8.77,9.025073303943362
ADI-47065,1,8.775,9.110871664350508
ADI-47066,1,8.775,9.054946673457039
ADI-47068,2,8.8,9.059274572173372
ADI-47069,3,8.804,9.360395919848102
ADI-47072,3,8.823,8.84312849234418
ADI-47073,4,8.829,8.748456638714815
ADI-47074,0,8.834,9.164861572421051
ADI-47075,3,8.838,8.944625177850371
ADI-47076,1,8.857,9.565196019569335
ADI-47078,2,8.867,8.710864346385769
ADI-47079,2,8.877,9.503706541439849
ADI-47081,1,8.906,8.861514539867418
ADI-47087,4,8.93,8.989216253114192
ADI-47089,3,8.94,9.414638238272252
ADI-47091,2,8.959,9.218924712528624
ADI-47094,0,9.003,9.032315566006835
ADI-47095,1,9.022,8.8660353200913
ADI-47096,2,9.027,9.375010852328773
ADI-47097,1,9.037,8.810195469784368
ADI-47098,2,9.066,9.150639693934032
ADI-47099,4,9.071,9.381608622389853
ADI-47100,3,9.081,8.866053239071144
ADI-47102,4,9.115,8.568401534389134
ADI-47103,3,9.119,8.789540994808727
ADI-47105,1,9.13,8.876418034302866
ADI-47111,3,9.173,8.988389426333638
ADI-47114,0,9.236,8.923211680902261
ADI-47117,4,9.25,9.807500131483362
ADI-47118,3,9.25,9.130288900785006
ADI-47122,0,9.285,9.042207254252457
ADI-47123,3,9.309,9.352721655441249
ADI-47130,2,9.522,9.840443783989743
ADI-47131,2,9.527,9.501254123650778
ADI-47132,3,9.557,9.319016975290578
ADI-47134,2,9.585,9.303676403892867
ADI-47139,2,9.75,9.656669201405336
ADI-47141,1,9.833,9.140937629166682
ADI-47145,0,9.978,9.392321790674602
