id,fold,y_true,y_pred
ADI-37123,1,8.566,8.840133202387968
ADI-38499,0,9.901,9.199154516479524
ADI-38501,4,8.959,9.511989179906223
ADI-38502,4,8.886,9.061734565633412
ADI-45379,1,8.794,8.703577923344547
ADI-45388,0,8.984,9.450301009112806
ADI-45389,0,8.857,9.27822529848956
ADI-45390,3,8.809,8.681191449351271
ADI-45391,0,9.153,9.125136181877764
ADI-45402,3,8.736,8.907750693021269
ADI-45406,1,8.78,9.261313828063631
ADI-45408,2,8.964,8.989834022226423
ADI-45422,3,10.143,9.602647998704528
ADI-45425,0,11.09,10.321012827066621
ADI-45430,0,8.799,9.070436620042955
ADI-45435,1,11.905,10.375409805648449
ADI-45439,0,8.736,9.157360067289105
ADI-45440,1,9.017,9.493523412217069
ADI-45450,3,8.717,9.25008007644672
ADI-45451,3,11.138,10.44884392531653
ADI-45453,3,9.357,9.355983023277785
ADI-45454,4,8.974,8.456779074325425
ADI-45455,2,8.717,8.916480823692856
ADI-45461,1,9.202,9.229042771075946
ADI-45463,0,8.916,9.06873677309703
ADI-45464,0,8.77,8.802495312745442
ADI-45465,1,8.755,9.33250595497082
ADI-45479,2,9.003,9.071318663358651
ADI-45480,3,9.212,9.82776024851084
ADI-45488,0,9.275,9.34783873305794
ADI-45490,0,9.144,9.288071551429717
ADI-45491,2,9.406,9.65731622847334
ADI-45493,4,10.406,10.113803111654285
ADI-45495,0,10.381,9.475861619233331
ADI-45497,2,12.74,10.327364676735312
ADI-45499,4,12.216,10.366349819680831
ADI-46677,3,9.406,9.023683550000682
ADI-46682,3,8.833,8.739908571964834
ADI-46684,2,9.037,9.345611982298434
ADI-46685,0,8.843,9.298010721624124
ADI-46690,0,8.819,8.879862389485986
ADI-46695,4,9.013,8.985746165807189
ADI-46697,3,9.095,9.219527622642916
ADI-46704,2,8.78,8.834766129954067
ADI-46705,4,9.304,9.770149179335544
ADI-46708,2,8.765,9.230824191236104
ADI-46710,1,9.1,9.750060011102267
ADI-47054,4,8.523,8.905510963868352
ADI-47060,4,8.707,8.589975633664352
ADI-47061,3,8.731,8.646826199622646
ADI-47063,0,8.756,8.956595708597298
ADI-47064,1,8.77,9.143853295556614
ADI-47065,1,8.775,9.223718325193115
ADI-47066,1,8.775,9.09695470893077
ADI-47068,2,8.8,9.11830729759095
ADI-47069,3,8.804,9.642819369399353
ADI-47072,3,8.823,8.911742935953567
ADI-47073,4,8.829,8.745349437779499
ADI-47074,0,8.834,9.338599873326885
ADI-47075,3,8.838,8.977133907825607
ADI-47076,1,8.857,9.846687017456436
ADI-47078,2,8.867,8.703528734639344
ADI-47079,2,8.877,9.589861825888354
ADI-47081,1,8.906,8.835545150754463
ADI-47087,4,8.93,9.080866745694244
ADI-47089,3,8.94,9.673085131929783
ADI-47091,2,8.959,9.111328538018421
ADI-47094,0,9.003,9.126666376251649
ADI-47095,1,9.022,8.837819020619282
ADI-47096,2,9.027,9.323127147971837
ADI-47097,1,9.037,8.769707518339523
ADI-47098,2,9.066,9.136505462819231
ADI-47099,4,9.071,9.74454703890462
ADI-47100,3,9.081,8.932265032617462
ADI-47102,4,9.115,8.60872474691719
ADI-47103,3,9.119,8.850071175865281
ADI-47105,1,9.13,8.987248469727305
ADI-47111,3,9.173,9.068629644975847
ADI-47114,0,9.236,8.917503883984097
ADI-47117,4,9.25,10.314316077616333
ADI-47118,3,9.25,9.34216675263844
ADI-47122,0,9.285,9.128514700919322
ADI-47123,3,9.309,9.829422496303478
ADI-47130,2,9.522,10.325957376063387
ADI-47131,2,9.527,9.809736417246958
ADI-47132,3,9.557,9.700300115768156
ADI-47134,2,9.585,9.617841680179554
ADI-47139,2,9.75,9.764423665334851
ADI-47141,1,9.833,9.260536428673106
ADI-47145,0,9.978,9.707028116111747
ADI-47146,0,10.032,9.795167947529276
ADI-47147,4,10.076,10.430909087880444
ADI-47149,1,10.503,9.416381298741005
ADI-47151,4,10.546,9.11841598628116
ADI-47153,3,11.148,9.544185868027382
ADI-47154,0,10.949,10.251650923612097
ADI-47155,1,10.984,9.676363128683878
ADI-47156,1,10.541,9.872428153062486
ADI-47158,1,11.386,10.327240999499846
ADI-47159,3,10.41,10.217057220804483
ADI-47162,3,11.866,10.26373761050563
ADI-47163,2,12.148,8.897517753728293
ADI-47165,1,10.187,9.962226960846593
ADI-47176,4,8.697,8.644317996737893
ADI-47177,2,8.717,9.244894946641763
ADI-47180,2,8.727,9.21602373419965
ADI-47181,0,9.77,9.383844644748727
ADI-47183,4,8.756,9.227000283516997
ADI-47187,2,9.119,9.290922339028553
ADI-47188,1,8.857,8.816461837876542
ADI-47189,4,8.862,9.239277845791584
ADI-47195,1,8.906,9.657357181443011
ADI-47199,1,8.931,9.323166646325944
ADI-47204,1,8.965,9.943877802466655
ADI-47207,3,9.008,8.842019658310162
ADI-47209,1,9.037,8.989422574288252
ADI-47212,4,9.081,10.173485976906374
ADI-47213,1,9.081,9.026561224162077
ADI-47215,0,9.086,9.653413386674458
ADI-47216,4,9.096,9.379896296157643
ADI-47218,2,9.119,9.421346086277607
ADI-47219,4,9.144,9.461258606939182
ADI-47223,4,9.202,9.939444729009768
ADI-47224,3,9.207,9.52502745977999
ADI-47225,0,9.236,9.842475444498945
ADI-47227,2,9.246,9.809009546046605
ADI-47228,2,9.265,9.800983308220358
ADI-47230,3,9.318,8.732870608580003
ADI-47233,0,9.367,10.098596458434322
ADI-47234,1,9.377,9.230084722173252
ADI-47236,1,9.406,8.822930544972248
ADI-47238,1,9.6,9.244079527388319
ADI-47240,4,9.644,9.533132322655234
ADI-47241,1,9.648,9.989198389576845
ADI-47244,0,9.756,10.488859467889093
ADI-47247,3,9.78,9.954018867306521
ADI-47249,2,9.44,10.00785876966293
ADI-47250,3,9.93,9.09486093358499
ADI-47252,4,9.94,9.887353426307865
ADI-47254,4,9.998,9.713214683096908
ADI-47258,0,9.372,9.914134974487716
ADI-47259,2,10.717,9.23597334365225
ADI-47260,2,10.74,10.403005040845878
ADI-47262,0,11.046,9.584771360659872
ADI-47265,4,11.886,10.250264117083287
ADI-47267,4,9.26,9.326641774185994
ADI-47280,0,8.625,9.420795906686799
ADI-47283,2,8.683,8.694188580201304
ADI-47284,4,8.717,8.985577911829218
ADI-47285,4,8.751,9.270861944907082
ADI-47288,2,8.843,9.035177070638687
ADI-47289,3,8.877,9.118263338882974
ADI-47292,2,8.935,9.438969200736926
ADI-47297,3,9.008,9.131568917431307
ADI-47300,3,9.076,8.947970554302103
ADI-47301,2,9.115,9.035186555126971
ADI-47302,0,9.149,9.263764958050213
ADI-47308,1,9.275,9.15202569733869
ADI-47309,0,9.284,9.611193468243602
ADI-47312,4,9.391,9.344770609336656
ADI-47316,4,9.605,9.452775198856216
ADI-47317,2,9.833,9.59220663003183
