id,fold,y_true,y_pred
ADI-37123,1,8.566,9.099547944375171
ADI-38499,0,9.901,9.246392931526369
ADI-38501,4,8.959,9.175029862243209
ADI-38502,4,8.886,9.06299679338093
ADI-45379,1,8.794,8.901319552090474
ADI-45388,0,8.984,9.146488588698105
ADI-45389,0,8.857,9.219497193909508
ADI-45390,3,8.809,8.871142544991336
ADI-45391,0,9.153,9.05482446891813
ADI-45402,3,8.736,8.922724477477653
ADI-45406,1,8.78,9.150819207238598
ADI-45408,2,8.964,9.024173659154766
ADI-45422,3,10.143,9.330750802918036
ADI-45425,0,11.09,9.973907194195242
ADI-45430,0,8.799,9.062309049265686
ADI-45435,1,11.905,10.111124784295722
ADI-45439,0,8.736,9.066442562800905
ADI-45440,1,9.017,9.388394101902225
ADI-45450,3,8.717,9.240495485732355
ADI-45451,3,11.138,9.957843856057638
ADI-45453,3,9.357,8.937981638090207
ADI-45454,4,8.974,8.764307154401457
ADI-45455,2,8.717,9.03000608887125
ADI-45461,1,9.202,9.32929045981345
ADI-45463,0,8.916,8.859642176032388
ADI-45464,0,8.77,8.70212771631892
ADI-45465,1,8.755,9.304182986940305
ADI-45479,2,9.003,8.913163668395192
ADI-45480,3,9.212,9.717362250523859
ADI-45488,0,9.275,9.1350809035252
ADI-45490,0,9.144,9.166062739845476
ADI-45491,2,9.406,9.499900465124728
ADI-45493,4,10.406,9.921520603847028
ADI-45495,0,10.381,9.249528364555935
ADI-45497,2,12.74,10.189741528554693
ADI-45499,4,12.216,9.708047867818273
ADI-46677,3,9.406,8.986239039856494
ADI-46682,3,8.833,8.924452917033229
ADI-46684,2,9.037,9.579480068512012
ADI-46685,0,8.843,9.152162095266165
ADI-46690,0,8.819,8.909800795743177
ADI-46695,4,9.013,8.977308425000222
ADI-46697,3,9.095,9.09382711638434
ADI-46704,2,8.78,9.006153939975176
ADI-46705,4,9.304,9.28818771425059
ADI-46708,2,8.765,9.216173486961065
ADI-46710,1,9.1,9.528572233532184
ADI-47054,4,8.523,9.060910304661768
ADI-47060,4,8.707,8.835803212568043
ADI-47061,3,8.731,8.891191864647785
ADI-47063,0,8.756,8.924807982505758
ADI-47064,1,8.77,9.010422272029452
ADI-47065,1,8.775,8.943377690850216
ADI-47066,1,8.775,8.902402878314083
ADI-47068,2,8.8,8.92082979695764
ADI-47069,3,8.804,9.21780596408485
ADI-47072,3,8.823,9.134831609223543
ADI-47073,4,8.829,8.98282120073767
ADI-47074,0,8.834,9.269733013080007
ADI-47075,3,8.838,8.735851083816897
ADI-47076,1,8.857,9.523778354969128
ADI-47078,2,8.867,8.8561252521911
