id,fold,y_true,y_pred
ADI-37123,1,8.566,8.987785720257952
ADI-38499,0,9.901,9.26281635027787
ADI-38501,4,8.959,9.19264337157748
ADI-38502,4,8.886,9.059841520997889
ADI-45379,1,8.794,8.840147586634828
ADI-45388,0,8.984,9.18836753032745
ADI-45389,0,8.857,9.219883050396334
ADI-45390,3,8.809,8.842417663079376
ADI-45391,0,9.153,9.118816453080145
ADI-45402,3,8.736,8.919559092358291
ADI-45406,1,8.78,9.187155859742926
ADI-45408,2,8.964,9.13536985480242
ADI-45422,3,10.143,9.36823578058233
ADI-45425,0,11.09,9.998311296879798
ADI-45430,0,8.799,9.170297617091226
ADI-45435,1,11.905,9.901818156476127
ADI-45439,0,8.736,9.008415479674792
ADI-45440,1,9.017,9.41760187396521
ADI-45450,3,8.717,9.031262857828759
ADI-45451,3,11.138,9.81337023338765
ADI-45453,3,9.357,8.881583279832
ADI-45454,4,8.974,8.705268317067116
ADI-45455,2,8.717,9.248806931811721
ADI-45461,1,9.202,9.299544933604459
ADI-45463,0,8.916,8.94888718104789
ADI-45464,0,8.77,8.714566597915445
ADI-45465,1,8.755,9.333706139798343
ADI-45479,2,9.003,8.9516603857217
ADI-45480,3,9.212,9.572165714853577
ADI-45488,0,9.275,9.155998894998344
ADI-45490,0,9.144,9.059946001003473
ADI-45491,2,9.406,9.433807928318485
ADI-45493,4,10.406,9.780813634164229
ADI-45495,0,10.381,9.26357606714165
ADI-45497,2,12.74,10.019284613194838
ADI-45499,4,12.216,9.728547287759895
ADI-46677,3,9.406,9.011597148627523
ADI-46682,3,8.833,9.018626299222046
ADI-46684,2,9.037,9.654418566176115
ADI-46685,0,8.843,9.172430311491683
ADI-46690,0,8.819,8.895578654843842
ADI-46695,4,9.013,9.113758964273707
ADI-46697,3,9.095,9.119757699643998
ADI-46704,2,8.78,8.953123350276606
ADI-46705,4,9.304,9.326155281358094
ADI-46708,2,8.765,9.194166777134253
ADI-46710,1,9.1,9.443180545700663
ADI-47054,4,8.523,9.02812083958807
ADI-47060,4,8.707,8.745870096298582
ADI-47061,3,8.731,8.930790889069915
ADI-47063,0,8.756,8.784065567127936
ADI-47064,1,8.77,9.063407074077706
