id,fold,y_true,y_pred
ADI-37123,1,69.0,72.01856299075985
ADI-38499,0,65.5,66.7263004079637
ADI-38501,4,64.5,70.08238577003927
ADI-38502,4,66.0,73.93102332054798
ADI-45379,1,66.0,67.00189556673263
ADI-45388,0,72.5,69.7569252427661
ADI-45389,0,67.5,68.29072834198173
ADI-45390,3,73.0,67.1898747044879
ADI-45391,0,68.5,67.67798534768555
ADI-45402,3,68.5,72.08709745901058
ADI-45406,1,69.5,71.82035072176376
ADI-45408,2,75.0,73.92259246195628
ADI-45422,3,72.0,68.54416979771543
ADI-45425,0,74.0,70.26459475743799
ADI-45430,0,80.0,77.36438813638158
ADI-45435,1,76.5,75.02867269638658
ADI-45439,0,67.5,68.76671702802237
ADI-45440,1,67.0,66.66408170815852
ADI-45450,3,70.5,66.51171807588253
ADI-45451,3,69.0,70.48966325592735
ADI-45453,3,61.5,68.94606291040276
ADI-45454,4,69.0,67.77611376313631
ADI-45455,2,57.5,67.08806070167184
ADI-45461,1,68.5,72.08891029403078
ADI-45463,0,74.5,66.16454589934622
ADI-45464,0,70.0,71.43871080388575
ADI-45465,1,73.5,71.69476748823932
ADI-45479,2,73.0,71.92957257172878
ADI-45480,3,83.5,75.1456797794362
ADI-45488,0,64.5,68.37686329122732
ADI-45490,0,69.5,68.54923757781089
ADI-45491,2,74.0,72.36759026513128
ADI-45493,4,75.0,76.88564906994391
ADI-45495,0,73.5,73.39102254028931
ADI-45497,2,71.0,77.2921497536874
ADI-45499,4,68.5,71.17498299437152
ADI-46677,3,68.0,66.83473332294295
ADI-46682,3,70.5,70.58545125245413
ADI-46684,2,69.0,70.79754865049826
ADI-46685,0,68.5,66.27964644654736
ADI-46690,0,73.5,74.71994818291931
ADI-46695,4,70.5,72.12390816786048
ADI-46697,3,65.0,67.55107498929297
ADI-46704,2,68.5,68.83938159496617
ADI-46705,4,74.0,71.68518366928951
ADI-46708,2,69.5,72.38031989436367
ADI-46710,1,72.5,74.47613205216848
ADI-47054,4,71.0,68.198918467928
ADI-47060,4,65.0,65.61163264594987
ADI-47061,3,66.0,68.34427330491023
ADI-47063,0,64.5,67.43806850213564
ADI-47064,1,66.5,65.74047270825402
ADI-47065,1,62.5,70.34606672814446
ADI-47066,1,71.0,70.41835234626109
ADI-47068,2,70.5,70.85541891633893
ADI-47069,3,61.0,64.21165395370384
ADI-47072,3,69.5,69.67420608924743
ADI-47073,4,61.5,67.01236992137753
ADI-47074,0,72.5,70.22254166851424
ADI-47075,3,69.0,68.8544944665255
ADI-47076,1,58.5,70.90692591156177
ADI-47078,2,62.0,68.21884235758816
ADI-47079,2,67.0,69.03014588392944
ADI-47081,1,68.0,67.41180410932178
ADI-47087,4,64.5,70.03937547684653
ADI-47089,3,66.0,65.72135599828408
ADI-47091,2,74.5,70.42418757815071
ADI-47094,0,77.0,70.49189471875796
ADI-47095,1,72.0,70.4111532798624
ADI-47096,2,74.5,70.61568546055057
ADI-47097,1,70.5,68.84365419139472
ADI-47098,2,60.5,64.94352553303858
ADI-47099,4,68.5,67.95844131574647
ADI-47100,3,67.0,66.59711015966612
ADI-47102,4,71.0,71.4290590185416
ADI-47103,3,69.5,68.26691077596512
ADI-47105,1,69.5,66.88035872171766
ADI-47111,3,74.5,69.23438935248824
ADI-47114,0,69.0,72.39400543314646
ADI-47117,4,79.0,70.57635439428047
ADI-47118,3,68.0,68.93210490766371
ADI-47122,0,66.0,66.28265729628225
ADI-47123,3,72.0,71.30541894501678
ADI-47130,2,68.5,69.12740146858555
ADI-47131,2,73.0,70.55301201669062
ADI-47132,3,70.5,69.05735039121114
ADI-47134,2,65.5,72.27082495211837
ADI-47139,2,69.0,71.06932487925025
ADI-47141,1,75.0,69.65610547936616
ADI-47145,0,68.0,70.81872027100546
ADI-47146,0,65.0,71.96087941808015
ADI-47147,4,74.0,75.34279308343507
ADI-47149,1,76.0,71.83143093566466
ADI-47151,4,67.5,67.14263004474297
ADI-47153,3,60.0,64.07131363960806
ADI-47154,0,72.5,70.76525698231112
ADI-47155,1,60.0,68.3196639753116
ADI-47156,1,70.5,68.00024219411362
ADI-47158,1,69.0,67.02650800099015
ADI-47159,3,71.0,65.30477671333446
ADI-47162,3,71.0,69.01507196578818
ADI-47163,2,61.0,65.20788918283246
ADI-47165,1,76.0,70.84536339001774
ADI-47176,4,72.5,69.6629543839417
ADI-47177,2,73.0,67.61221546738935
ADI-47180,2,72.0,67.98993943052695
ADI-47181,0,62.5,66.18983710163987
ADI-47183,4,69.5,69.62257356672221
ADI-47187,2,66.5,67.66542883369898
ADI-47188,1,70.0,69.46704859874085
ADI-47189,4,70.5,69.1597796754238
ADI-47195,1,68.5,67.72529973704378
ADI-47199,1,71.0,71.08316008316761
ADI-47204,1,67.0,67.2693144286065
ADI-47207,3,75.0,71.77136937151106
ADI-47209,1,77.0,73.50986034159062
ADI-47212,4,68.5,69.09199022895876
ADI-47213,1,71.0,69.17572396961664
ADI-47215,0,76.0,72.75508149996645
ADI-47216,4,70.0,69.83569781374189
ADI-47218,2,70.5,73.60063432124542
ADI-47219,4,75.0,75.3853390306743
ADI-47223,4,67.5,66.02173986952523
ADI-47224,3,76.0,71.00076242849931
ADI-47225,0,63.5,70.19500532062953
ADI-47227,2,74.0,74.34194973886612
ADI-47228,2,73.0,69.7002362157935
ADI-47230,3,66.5,66.80276939938696
ADI-47233,0,69.5,71.78573274261943
ADI-47234,1,66.5,67.57676073685283
ADI-47236,1,68.5,69.91250251926716
ADI-47238,1,77.0,72.11484732048248
ADI-47240,4,66.0,70.2321070288885
ADI-47241,1,72.5,68.9088619076607
ADI-47244,0,71.5,70.76427700617229
ADI-47247,3,76.0,71.16042198932587
ADI-47249,2,68.0,68.62016084926276
ADI-47250,3,71.5,69.37309001676977
ADI-47252,4,69.0,73.29089021273285
ADI-47254,4,71.5,72.09363623245137
ADI-47258,0,68.0,71.03331359001213
ADI-47259,2,72.5,69.76318196903908
ADI-47260,2,79.0,74.10805160211554
ADI-47262,0,69.0,74.03150533440193
ADI-47265,4,69.5,67.80210602912602
ADI-47267,4,70.5,69.09592702707096
ADI-47280,0,70.0,71.41445255544545
ADI-47283,2,71.5,70.67453901477731
ADI-47284,4,64.5,65.63972785814188
ADI-47285,4,82.5,76.6653198163908
ADI-47288,2,76.5,68.50959846074258
ADI-47289,3,67.0,67.33973386054845
ADI-47292,2,70.5,71.24130649716133
ADI-47297,3,79.5,73.19360894340387
ADI-47300,3,68.0,72.79716231722868
ADI-47301,2,67.0,67.21311101901784
ADI-47302,0,73.0,70.95608987604446
ADI-47308,1,66.5,69.27341315893663
ADI-47309,0,74.0,72.56346525692862
ADI-47312,4,73.0,70.18280807101465
ADI-47316,4,67.0,65.9539224018066
ADI-47317,2,69.0,69.23178315091238
