id,fold,y_true,y_pred
ADI-37123,1,69.0,71.46715906494697
ADI-38499,0,65.5,67.57987458343264
ADI-38501,4,64.5,70.69757740372752
ADI-38502,4,66.0,72.09973718337686
ADI-45379,1,66.0,66.59240019208588
ADI-45388,0,72.5,69.66344600704805
ADI-45389,0,67.5,69.18989285073489
ADI-45390,3,73.0,68.59482613843431
ADI-45391,0,68.5,68.83288157523123
ADI-45402,3,68.5,72.0134436685085
ADI-45406,1,69.5,71.09287513489261
ADI-45408,2,75.0,72.90403343682853
ADI-45422,3,72.0,69.29637853671453
ADI-45425,0,74.0,70.72606117915521
ADI-45430,0,80.0,75.99216856902089
ADI-45435,1,76.5,76.29269559701484
ADI-45439,0,67.5,69.35748191327694
ADI-45440,1,67.0,67.01062606374234
ADI-45450,3,70.5,67.30564008444455
ADI-45451,3,69.0,70.34109826916563
ADI-45453,3,61.5,69.01161879468417
ADI-45454,4,69.0,68.40454262933012
ADI-45455,2,57.5,67.26376467392217
ADI-45461,1,68.5,70.4447739390897
ADI-45463,0,74.5,67.4668506809037
ADI-45464,0,70.0,70.79489990276643
ADI-45465,1,73.5,71.166111506331
ADI-45479,2,73.0,71.2504883363129
ADI-45480,3,83.5,74.2667888344566
ADI-45488,0,64.5,69.03794169317341
ADI-45490,0,69.5,69.07414577614826
ADI-45491,2,74.0,71.37231768851963
ADI-45493,4,75.0,74.17192064962558
ADI-45495,0,73.5,73.34330996415025
ADI-45497,2,71.0,75.12166069212599
ADI-45499,4,68.5,70.90805433753704
ADI-46677,3,68.0,67.72215356408971
ADI-46682,3,70.5,70.59194824964813
ADI-46684,2,69.0,70.10304980991887
ADI-46685,0,68.5,66.87163269259948
ADI-46690,0,73.5,73.77865049198604
ADI-46695,4,70.5,71.31546939079497
ADI-46697,3,65.0,68.50348749579621
ADI-46704,2,68.5,69.40254539778802
ADI-46705,4,74.0,70.27918686046117
ADI-46708,2,69.5,71.73704098738006
ADI-46710,1,72.5,73.43250723023803
ADI-47054,4,71.0,68.37107677753106
ADI-47060,4,65.0,67.32010297628976
ADI-47061,3,66.0,69.41234538547826
ADI-47063,0,64.5,67.81850295216051
ADI-47064,1,66.5,66.29809482535241
ADI-47065,1,62.5,68.83889648749064
ADI-47066,1,71.0,70.74925852711203
ADI-47068,2,70.5,70.54274865484143
ADI-47069,3,61.0,66.78892666794114
ADI-47072,3,69.5,69.94244361513711
ADI-47073,4,61.5,67.4500272380269
ADI-47074,0,72.5,69.85002069155914
ADI-47075,3,69.0,69.3501717750737
ADI-47076,1,58.5,69.54410567845558
ADI-47078,2,62.0,67.95109175167605
ADI-47079,2,67.0,69.51358755862738
ADI-47081,1,68.0,68.5845868377491
ADI-47087,4,64.5,69.68500124801223
ADI-47089,3,66.0,67.26242427624508
ADI-47091,2,74.5,70.3116796446206
ADI-47094,0,77.0,70.53455477861914
ADI-47095,1,72.0,69.40125958411362
ADI-47096,2,74.5,70.77883607471504
ADI-47097,1,70.5,67.99379871241547
ADI-47098,2,60.5,66.62134038745918
ADI-47099,4,68.5,68.76836753699195
ADI-47100,3,67.0,67.14910531327287
ADI-47102,4,71.0,71.29855524758817
ADI-47103,3,69.5,69.08528700949171
ADI-47105,1,69.5,67.07345108250479
ADI-47111,3,74.5,68.78217690881431
ADI-47114,0,69.0,71.69137448859237
ADI-47117,4,79.0,70.71039045897739
ADI-47118,3,68.0,69.18666862728303
ADI-47122,0,66.0,67.28580798372938
ADI-47123,3,72.0,70.49469907902144
ADI-47130,2,68.5,69.55356817841692
ADI-47131,2,73.0,70.27210755233885
ADI-47132,3,70.5,69.42740203903301
ADI-47134,2,65.5,71.73088631519926
ADI-47139,2,69.0,70.82599272555846
ADI-47141,1,75.0,68.12568635950977
ADI-47145,0,68.0,70.5069809999919
ADI-47146,0,65.0,71.44572315547101
ADI-47147,4,74.0,73.663953768276
ADI-47149,1,76.0,71.10182195118594
ADI-47151,4,67.5,67.86148174687419
ADI-47153,3,60.0,65.99288807126014
ADI-47154,0,72.5,70.74932802524965
ADI-47155,1,60.0,68.00056505396785
ADI-47156,1,70.5,68.3692155999596
ADI-47158,1,69.0,66.15022345273943
ADI-47159,3,71.0,67.28196872661279
ADI-47162,3,71.0,69.82883321580366
ADI-47163,2,61.0,66.22858814483557
ADI-47165,1,76.0,70.27440644254148
ADI-47176,4,72.5,70.38451188453702
ADI-47177,2,73.0,68.39427416068855
ADI-47180,2,72.0,68.15862027123889
ADI-47181,0,62.5,67.3661489842799
ADI-47183,4,69.5,69.73348657919108
ADI-47187,2,66.5,68.2796704834713
ADI-47188,1,70.0,73.57537119286441
ADI-47189,4,70.5,69.49795840285302
ADI-47195,1,68.5,69.70897821175669
ADI-47199,1,71.0,71.16661571804609
ADI-47204,1,67.0,66.72291446148304
ADI-47207,3,75.0,72.14849051338038
ADI-47209,1,77.0,72.61581472794626
ADI-47212,4,68.5,69.28218476380134
ADI-47213,1,71.0,69.05633790180745
ADI-47215,0,76.0,72.31235842153994
ADI-47216,4,70.0,69.95136447774628
ADI-47218,2,70.5,72.72597573352401
ADI-47219,4,75.0,73.64133680370541
ADI-47223,4,67.5,66.31813212018793
ADI-47224,3,76.0,71.24617332259098
ADI-47225,0,63.5,70.64823239187594
ADI-47227,2,74.0,73.00629679211727
ADI-47228,2,73.0,69.48667360280689
ADI-47230,3,66.5,67.60596231802857
ADI-47233,0,69.5,71.64618834202638
ADI-47234,1,66.5,69.31433545442803
ADI-47236,1,68.5,68.39654316446962
ADI-47238,1,77.0,72.1718601855268
ADI-47240,4,66.0,70.14967728342062
ADI-47241,1,72.5,68.97468993595237
ADI-47244,0,71.5,70.781384693222
ADI-47247,3,76.0,71.40605477200576
ADI-47249,2,68.0,68.35685184676132
ADI-47250,3,71.5,70.17808912515333
ADI-47252,4,69.0,71.5299516297476
ADI-47254,4,71.5,71.6810910328317
ADI-47258,0,68.0,70.72026099751818
ADI-47259,2,72.5,69.55390906905862
ADI-47260,2,79.0,72.84348242804975
ADI-47262,0,69.0,73.42002750085817
ADI-47265,4,69.5,68.81946572312718
ADI-47267,4,70.5,69.11975603387802
ADI-47280,0,70.0,71.51302922482836
ADI-47283,2,71.5,69.85526353763888
ADI-47284,4,64.5,66.86874882459347
ADI-47285,4,82.5,75.31930209513413
ADI-47288,2,76.5,68.93181174016642
ADI-47289,3,67.0,68.25329810511681
ADI-47292,2,70.5,71.45119449379449
ADI-47297,3,79.5,72.5912850362944
ADI-47300,3,68.0,71.94649825006442
ADI-47301,2,67.0,68.07284262126699
ADI-47302,0,73.0,71.07334143156038
ADI-47308,1,66.5,69.23388358756183
ADI-47309,0,74.0,72.43430837575384
ADI-47312,4,73.0,69.63912718841553
ADI-47316,4,67.0,66.76235150520317
ADI-47317,2,69.0,69.77431273303534
