id,fold,y_true,y_pred
ADI-37123,1,69.0,71.63727521237865
ADI-38499,0,65.5,67.57987458343266
ADI-38501,4,64.5,70.74555205684095
ADI-38502,4,66.0,72.6342485786115
ADI-45379,1,66.0,66.61998355208013
ADI-45388,0,72.5,69.66344600704807
ADI-45389,0,67.5,69.1898928507349
ADI-45390,3,73.0,68.59242048322216
ADI-45391,0,68.5,68.83288157523124
ADI-45402,3,68.5,71.75322258612265
ADI-45406,1,69.5,71.08514411445984
ADI-45408,2,75.0,73.07461018055746
ADI-45422,3,72.0,69.36338118879858
ADI-45425,0,74.0,70.72606117915522
ADI-45430,0,80.0,75.99216856902089
ADI-45435,1,76.5,76.3272930969753
ADI-45439,0,67.5,69.35748191327696
ADI-45440,1,67.0,66.9583558763753
ADI-45450,3,70.5,67.3802277165317
ADI-45451,3,69.0,70.44964918415764
ADI-45453,3,61.5,68.9519980335904
ADI-45454,4,69.0,68.20153391329401
ADI-45455,2,57.5,67.06602224586845
ADI-45461,1,68.5,70.42792027135016
ADI-45463,0,74.5,67.46685068090372
ADI-45464,0,70.0,70.79489990276645
ADI-45465,1,73.5,71.29831390048557
ADI-45479,2,73.0,71.48437573381742
ADI-45480,3,83.5,74.40576471511832
ADI-45488,0,64.5,69.03794169317342
ADI-45490,0,69.5,69.07414577614827
ADI-45491,2,74.0,71.56800835941661
ADI-45493,4,75.0,74.58760833006357
ADI-45495,0,73.5,73.34330996415025
ADI-45497,2,71.0,75.60388894302567
ADI-45499,4,68.5,70.38530430357696
ADI-46677,3,68.0,67.80716751447483
ADI-46682,3,70.5,70.51513670507015
ADI-46684,2,69.0,70.02507337423077
ADI-46685,0,68.5,66.87163269259949
ADI-46690,0,73.5,73.77865049198606
ADI-46695,4,70.5,71.82362991078867
ADI-46697,3,65.0,68.56670594577531
ADI-46704,2,68.5,69.3804794452394
ADI-46705,4,74.0,70.26711708475659
ADI-46708,2,69.5,71.83558602023277
ADI-46710,1,72.5,73.55122844695353
ADI-47054,4,71.0,68.91057240778837
ADI-47060,4,65.0,67.32820433966056
ADI-47061,3,66.0,69.80097419517082
ADI-47063,0,64.5,67.81850295216053
ADI-47064,1,66.5,66.2480942115942
ADI-47065,1,62.5,68.79278537338647
ADI-47066,1,71.0,70.80894561278055
ADI-47068,2,70.5,70.58718259275417
ADI-47069,3,61.0,66.69326058255982
ADI-47072,3,69.5,69.82028129997411
ADI-47073,4,61.5,67.23085990062081
ADI-47074,0,72.5,69.85002069155915
ADI-47075,3,69.0,69.11783328447373
ADI-47076,1,58.5,69.51578794292335
ADI-47078,2,62.0,67.90591338139431
ADI-47079,2,67.0,69.57380114957294
ADI-47081,1,68.0,68.66651081238477
ADI-47087,4,64.5,70.18968648522065
ADI-47089,3,66.0,67.32229217851555
ADI-47091,2,74.5,70.27184491832172
ADI-47094,0,77.0,70.53455477861915
ADI-47095,1,72.0,69.31223397484054
ADI-47096,2,74.5,70.75831804065376
ADI-47097,1,70.5,67.94424699626572
ADI-47098,2,60.5,66.43598409741433
ADI-47099,4,68.5,68.86187644528285
ADI-47100,3,67.0,67.11455583964394
ADI-47102,4,71.0,71.83935066876852
ADI-47103,3,69.5,69.13988992873351
ADI-47105,1,69.5,67.07695698166212
ADI-47111,3,74.5,68.58927224603721
ADI-47114,0,69.0,71.69137448859239
ADI-47117,4,79.0,70.01916430015667
ADI-47118,3,68.0,69.33055701223323
ADI-47122,0,66.0,67.2858079837294
ADI-47123,3,72.0,70.37899987802088
ADI-47130,2,68.5,69.55455169792872
ADI-47131,2,73.0,70.3614731261479
ADI-47132,3,70.5,69.35603284775385
ADI-47134,2,65.5,71.80196273336189
ADI-47139,2,69.0,71.06300823473124
ADI-47141,1,75.0,67.96992655971738
ADI-47145,0,68.0,70.50698099999191
ADI-47146,0,65.0,71.44572315547103
ADI-47147,4,74.0,73.42130231257907
ADI-47149,1,76.0,70.91689780685364
ADI-47151,4,67.5,67.71155723274528
ADI-47153,3,60.0,66.14680550423947
ADI-47154,0,72.5,70.74932802524967
ADI-47155,1,60.0,68.00979599987177
ADI-47156,1,70.5,68.25866367187089
ADI-47158,1,69.0,65.87155474812553
ADI-47159,3,71.0,67.29861676184515
ADI-47162,3,71.0,69.93887901567419
ADI-47163,2,61.0,65.84308741240818
ADI-47165,1,76.0,70.27360807556039
ADI-47176,4,72.5,70.87375025169816
ADI-47177,2,73.0,68.29540726167687
ADI-47180,2,72.0,68.09518518645588
ADI-47181,0,62.5,67.36614898427992
ADI-47183,4,69.5,70.0244155214287
ADI-47187,2,66.5,68.1128723031552
ADI-47188,1,70.0,73.97319253629418
ADI-47189,4,70.5,69.06703559652662
ADI-47195,1,68.5,69.75542227009065
ADI-47199,1,71.0,71.36639213388128
ADI-47204,1,67.0,66.67817179155422
ADI-47207,3,75.0,72.09624753601403
ADI-47209,1,77.0,72.76664196661659
ADI-47212,4,68.5,69.43153131189506
ADI-47213,1,71.0,69.03283917642324
ADI-47215,0,76.0,72.31235842153995
ADI-47216,4,70.0,70.18698539522497
ADI-47218,2,70.5,72.94741542190482
ADI-47219,4,75.0,73.76563535932839
ADI-47223,4,67.5,66.4698365533954
ADI-47224,3,76.0,71.38191158225843
ADI-47225,0,63.5,70.64823239187595
ADI-47227,2,74.0,73.31445706481084
ADI-47228,2,73.0,69.49405546890515
ADI-47230,3,66.5,67.76616264235392
ADI-47233,0,69.5,71.64618834202639
ADI-47234,1,66.5,69.28171388477158
ADI-47236,1,68.5,68.46580294710827
ADI-47238,1,77.0,72.13949962017233
ADI-47240,4,66.0,70.68276476588719
ADI-47241,1,72.5,69.03206647803563
ADI-47244,0,71.5,70.78138469322201
ADI-47247,3,76.0,71.63688925975102
ADI-47249,2,68.0,68.22573649556625
ADI-47250,3,71.5,70.22771175590884
