id,fold,y_true,y_pred
ADI-37123,1,69.0,71.36914444490415
ADI-38499,0,65.5,67.5883728164026
ADI-38501,4,64.5,70.47414297735216
ADI-38502,4,66.0,71.90165348544708
ADI-45379,1,66.0,66.59383896442269
ADI-45388,0,72.5,69.81481436115993
ADI-45389,0,67.5,69.3087897493244
ADI-45390,3,73.0,68.14401085840058
ADI-45391,0,68.5,68.92729827429308
ADI-45402,3,68.5,71.80784629270704
ADI-45406,1,69.5,70.84364287227301
ADI-45408,2,75.0,73.00135959105374
ADI-45422,3,72.0,68.9195953600684
ADI-45425,0,74.0,70.95029286621815
ADI-45430,0,80.0,76.57749630117692
ADI-45435,1,76.5,75.83296070758837
ADI-45439,0,67.5,69.48787036401392
ADI-45440,1,67.0,66.9158914429413
ADI-45450,3,70.5,66.7584297808686
ADI-45451,3,69.0,70.06257882584364
ADI-45453,3,61.5,68.58570241718868
ADI-45454,4,69.0,68.21412815326931
ADI-45455,2,57.5,67.25369394371305
ADI-45461,1,68.5,70.21811722369671
ADI-45463,0,74.5,67.46759888502261
ADI-45464,0,70.0,71.0238518488376
ADI-45465,1,73.5,71.04653138591807
ADI-45479,2,73.0,71.27926292714734
ADI-45480,3,83.5,74.3331446685311
ADI-45488,0,64.5,69.14641932797268
ADI-45490,0,69.5,69.1851059184641
ADI-45491,2,74.0,71.41314138994196
ADI-45493,4,75.0,73.89673651445639
ADI-45495,0,73.5,73.74700593390236
ADI-45497,2,71.0,75.22450234308809
ADI-45499,4,68.5,70.60040002640257
ADI-46677,3,68.0,67.21292963031318
ADI-46682,3,70.5,70.29915879063921
ADI-46684,2,69.0,70.16094805914209
ADI-46685,0,68.5,66.83156690535189
ADI-46690,0,73.5,74.21219768413685
ADI-46695,4,70.5,71.13681381227345
ADI-46697,3,65.0,68.05750579350446
ADI-46704,2,68.5,69.4253602402098
ADI-46705,4,74.0,70.05982885889684
ADI-46708,2,69.5,71.81111616750438
ADI-46710,1,72.5,73.19078687457842
ADI-47054,4,71.0,68.2831725309012
ADI-47060,4,65.0,67.19040121623406
ADI-47061,3,66.0,69.10791960366454
ADI-47063,0,64.5,67.84336388984106
ADI-47064,1,66.5,66.23988601012115
ADI-47065,1,62.5,68.66184559983262
ADI-47066,1,71.0,70.58076554560562
ADI-47068,2,70.5,70.58910249625019
ADI-47069,3,61.0,66.16409702572642
ADI-47072,3,69.5,69.58477960081979
ADI-47073,4,61.5,67.28543412068026
ADI-47074,0,72.5,70.01418243853291
ADI-47075,3,69.0,68.92000945649335
ADI-47076,1,58.5,69.34997743797778
ADI-47078,2,62.0,67.93084864134026
ADI-47079,2,67.0,69.52247209618915
ADI-47081,1,68.0,68.54166131635388
ADI-47087,4,64.5,69.5537517097546
ADI-47089,3,66.0,66.70862908619856
ADI-47091,2,74.5,70.3685974476207
ADI-47094,0,77.0,70.74565490593139
ADI-47095,1,72.0,69.15624096715405
ADI-47096,2,74.5,70.84710856860879
ADI-47097,1,70.5,67.85423260122482
ADI-47098,2,60.5,66.58741415163753
ADI-47099,4,68.5,68.60781356037937
ADI-47100,3,67.0,66.56722338572067
ADI-47102,4,71.0,71.12485876171785
ADI-47103,3,69.5,68.6878728269362
ADI-47105,1,69.5,67.02877236484363
ADI-47111,3,74.5,68.31061288242545
ADI-47114,0,69.0,71.98179753722616
ADI-47117,4,79.0,70.3855040184887
ADI-47118,3,68.0,68.81531564324496
ADI-47122,0,66.0,67.27414212237206
ADI-47123,3,72.0,70.18597433396953
ADI-47130,2,68.5,69.57648607647447
ADI-47131,2,73.0,70.29976407523971
ADI-47132,3,70.5,69.0351106364078
ADI-47134,2,65.5,71.8105491192754
ADI-47139,2,69.0,70.84014887736878
ADI-47141,1,75.0,67.87867362805558
ADI-47145,0,68.0,70.71619039821842
ADI-47146,0,65.0,71.71930193597751
ADI-47147,4,74.0,73.31366787682599
ADI-47149,1,76.0,70.68351115795788
ADI-47151,4,67.5,67.69427364852841
ADI-47153,3,60.0,65.34770076596088
ADI-47154,0,72.5,70.97515511580221
ADI-47155,1,60.0,67.91662014760506
ADI-47156,1,70.5,68.15348482250845
ADI-47158,1,69.0,65.88150721031016
ADI-47159,3,71.0,66.72148345814561
ADI-47162,3,71.0,69.50637019134349
ADI-47163,2,61.0,66.2246795462091
ADI-47165,1,76.0,70.07124757286677
ADI-47176,4,72.5,70.23060797507155
ADI-47177,2,73.0,68.40042594362795
ADI-47180,2,72.0,68.14899688573854
ADI-47181,0,62.5,67.35999209101035
ADI-47183,4,69.5,69.57158490397472
ADI-47187,2,66.5,68.2964886235816
ADI-47188,1,70.0,73.5923994506101
ADI-47189,4,70.5,69.24426989122647
ADI-47195,1,68.5,69.57805409632485
ADI-47199,1,71.0,71.11132617622467
ADI-47204,1,67.0,66.64922075955708
ADI-47207,3,75.0,71.99486859109639
ADI-47209,1,77.0,72.44404134469194
ADI-47212,4,68.5,69.11417678743535
ADI-47213,1,71.0,68.89032150254378
ADI-47215,0,76.0,72.64536222777188
ADI-47216,4,70.0,69.77550185220115
ADI-47218,2,70.5,72.8062280255912
ADI-47219,4,75.0,73.34189055834635
ADI-47223,4,67.5,66.23749057852812
ADI-47224,3,76.0,71.05107578398986
ADI-47225,0,63.5,70.86712737286733
ADI-47227,2,74.0,73.07718470454233
ADI-47228,2,73.0,69.50592225740336
ADI-47230,3,66.5,67.10127952005566
ADI-47233,0,69.5,71.9335129846441
ADI-47234,1,66.5,69.12719287443016
ADI-47236,1,68.5,68.35063367954842
ADI-47238,1,77.0,71.8471463489884
ADI-47240,4,66.0,70.00866543300349
ADI-47241,1,72.5,68.88958607173869
ADI-47244,0,71.5,71.00940990378363
ADI-47247,3,76.0,71.24319616278362
ADI-47249,2,68.0,68.36857859267124
ADI-47250,3,71.5,69.87407145343082
ADI-47252,4,69.0,71.29716226530884
ADI-47254,4,71.5,71.45344175341162
ADI-47258,0,68.0,70.9440949671601
ADI-47259,2,72.5,69.57808827640572
ADI-47260,2,79.0,72.931358265144
ADI-47262,0,69.0,73.82898397842823
ADI-47265,4,69.5,68.63821960683872
ADI-47267,4,70.5,68.90125038933165
ADI-47280,0,70.0,71.79122317051407
ADI-47283,2,71.5,69.8989425987069
ADI-47284,4,64.5,66.66454648316319
ADI-47285,4,82.5,74.9116026733662
ADI-47288,2,76.5,68.94440462453676
ADI-47289,3,67.0,67.75178747743225
ADI-47292,2,70.5,71.53073227180212
ADI-47297,3,79.5,72.48880138090104
ADI-47300,3,68.0,71.73630614738144
ADI-47301,2,67.0,68.05183588146173
ADI-47302,0,73.0,71.32138606363158
ADI-47308,1,66.5,69.04518417392721
ADI-47309,0,74.0,72.77567426860989
ADI-47312,4,73.0,69.43668473544105
ADI-47316,4,67.0,66.66113611990438
ADI-47317,2,69.0,69.81300593352648
