id,fold,y_true,y_pred
ADI-37123,1,69.0,70.64794969202742
ADI-38499,0,65.5,67.86594678006537
ADI-38501,4,64.5,69.95201361640233
ADI-38502,4,66.0,71.39360031076265
ADI-45379,1,66.0,67.63365786931718
ADI-45388,0,72.5,70.84755068554864
ADI-45389,0,67.5,69.10795745356822
ADI-45390,3,73.0,68.7875353681399
ADI-45391,0,68.5,69.23043093741401
ADI-45402,3,68.5,71.06220511372885
ADI-45406,1,69.5,70.07652090279755
ADI-45408,2,75.0,72.70716426296009
ADI-45422,3,72.0,70.00980153044856
ADI-45425,0,74.0,70.69156731420009
ADI-45430,0,80.0,74.00843054878601
ADI-45435,1,76.5,73.69056232154998
ADI-45439,0,67.5,68.91065053495726
ADI-45440,1,67.0,67.3570455821858
ADI-45450,3,70.5,68.10116575718557
ADI-45451,3,69.0,71.11198062260382
ADI-45453,3,61.5,68.54720652574949
ADI-45454,4,69.0,69.33893914955507
ADI-45455,2,57.5,68.1456578593517
ADI-45461,1,68.5,71.01542455007973
ADI-45463,0,74.5,68.48288900150976
ADI-45464,0,70.0,70.31317191691014
ADI-45465,1,73.5,70.1332985571253
ADI-45479,2,73.0,70.39304969421626
ADI-45480,3,83.5,72.5030449011175
ADI-45488,0,64.5,69.41197850407966
ADI-45490,0,69.5,68.55685967663669
ADI-45491,2,74.0,70.09282562166999
ADI-45493,4,75.0,72.29364263544949
ADI-45495,0,73.5,72.03051290720838
ADI-45497,2,71.0,71.98809110453374
ADI-45499,4,68.5,70.42582582958283
ADI-46677,3,68.0,69.14217352166686
ADI-46682,3,70.5,69.68952672545291
ADI-46684,2,69.0,70.04804911029112
ADI-46685,0,68.5,67.58262573488489
ADI-46690,0,73.5,71.6307781067323
ADI-46695,4,70.5,70.69200326806737
ADI-46697,3,65.0,69.64589364883128
ADI-46704,2,68.5,69.550155020077
ADI-46705,4,74.0,70.45739007975133
ADI-46708,2,69.5,71.4141277983842
ADI-46710,1,72.5,72.82970092524747
ADI-47054,4,71.0,68.7051243773708
ADI-47060,4,65.0,68.10373775253558
ADI-47061,3,66.0,70.09197798768503
ADI-47063,0,64.5,67.87634123006228
ADI-47064,1,66.5,67.03908432990552
ADI-47065,1,62.5,69.4443542142055
ADI-47066,1,71.0,71.05862150976525
ADI-47068,2,70.5,70.79076507183358
ADI-47069,3,61.0,68.0683845527017
ADI-47072,3,69.5,70.33790852739108
ADI-47073,4,61.5,67.57237536239683
ADI-47074,0,72.5,69.76370641153478
ADI-47075,3,69.0,70.32580149495156
ADI-47076,1,58.5,68.75425983751336
ADI-47078,2,62.0,68.19438169432931
ADI-47079,2,67.0,69.7027006885935
