id,fold,y_true,y_pred
ADI-37123,1,69.0,70.11669361098546
ADI-38499,0,65.5,68.62282731439711
ADI-38501,4,64.5,70.27261030347749
ADI-38502,4,66.0,70.77916775013908
ADI-45379,1,66.0,68.3050852431047
ADI-45388,0,72.5,70.37790507959579
ADI-45389,0,67.5,68.99547359673308
ADI-45390,3,73.0,68.8198598908106
ADI-45391,0,68.5,68.63072013360609
ADI-45402,3,68.5,71.09556308062425
ADI-45406,1,69.5,70.117825003526
ADI-45408,2,75.0,71.72425627352608
ADI-45422,3,72.0,69.7558928139278
ADI-45425,0,74.0,70.31748912618
ADI-45430,0,80.0,72.97154069085543
ADI-45435,1,76.5,73.20825171500701
ADI-45439,0,67.5,69.10114838035157
ADI-45440,1,67.0,67.71872973494425
ADI-45450,3,70.5,68.78164335926587
ADI-45451,3,69.0,70.56078487415171
ADI-45453,3,61.5,69.38405399535736
ADI-45454,4,69.0,69.69490241761501
ADI-45455,2,57.5,68.61053168536367
ADI-45461,1,68.5,70.87631282433644
ADI-45463,0,74.5,68.33901367820228
ADI-45464,0,70.0,70.82688559799548
ADI-45465,1,73.5,70.44563694221166
ADI-45479,2,73.0,70.23113429438668
ADI-45480,3,83.5,72.36078069845881
ADI-45488,0,64.5,69.09132121237799
ADI-45490,0,69.5,68.41930006257547
ADI-45491,2,74.0,70.58476491650053
ADI-45493,4,75.0,71.97501063006563
ADI-45495,0,73.5,71.18585696159595
ADI-45497,2,71.0,72.35429146533619
ADI-45499,4,68.5,70.25314365914979
ADI-46677,3,68.0,69.18721285091958
ADI-46682,3,70.5,70.07219874829451
ADI-46684,2,69.0,70.1570386583618
ADI-46685,0,68.5,68.39149708085439
ADI-46690,0,73.5,71.60208338294315
ADI-46695,4,70.5,70.5115537394422
ADI-46697,3,65.0,69.43695615795116
ADI-46704,2,68.5,69.13266903463752
ADI-46705,4,74.0,70.1299240918453
ADI-46708,2,69.5,71.1455880396203
ADI-46710,1,72.5,71.87552829954467
ADI-47054,4,71.0,69.02116224944994
ADI-47060,4,65.0,68.30208366144403
ADI-47061,3,66.0,69.26544638324624
ADI-47063,0,64.5,68.49535253004927
ADI-47064,1,66.5,67.33677013719304
ADI-47065,1,62.5,69.6133379373205
ADI-47066,1,71.0,70.75107472255625
ADI-47068,2,70.5,70.50149954347505
ADI-47069,3,61.0,68.56766458874786
ADI-47072,3,69.5,70.48526012505421
ADI-47073,4,61.5,68.00697229174472
ADI-47074,0,72.5,70.59457903294965
ADI-47075,3,69.0,70.43858605048742
ADI-47076,1,58.5,69.37039305854033
ADI-47078,2,62.0,68.51929916840727
ADI-47079,2,67.0,69.63983038517037
ADI-47081,1,68.0,69.0098908108849
ADI-47087,4,64.5,69.59622297467814
ADI-47089,3,66.0,68.45410813582482
ADI-47091,2,74.5,70.61823586673653
ADI-47094,0,77.0,70.75530254914594
ADI-47095,1,72.0,70.36500265775224
ADI-47096,2,74.5,70.87674923404207
ADI-47097,1,70.5,68.94651845236181
ADI-47098,2,60.5,67.77011858573681
ADI-47099,4,68.5,69.05433741945056
ADI-47100,3,67.0,69.0822889913237
ADI-47102,4,71.0,70.37938131036304
ADI-47103,3,69.5,69.35559921816393
ADI-47105,1,69.5,68.44619688410893
ADI-47111,3,74.5,69.68748853459543
ADI-47114,0,69.0,71.03276777517101
ADI-47117,4,79.0,70.28173475914998
ADI-47118,3,68.0,69.76149553341433
ADI-47122,0,66.0,68.61247760032654
ADI-47123,3,72.0,70.17459334512823
ADI-47130,2,68.5,69.39598611854974
ADI-47131,2,73.0,70.07059073203736
ADI-47132,3,70.5,70.11944621605981
ADI-47134,2,65.5,71.0459496865884
ADI-47139,2,69.0,70.17476916492042
ADI-47141,1,75.0,68.89278305937138
ADI-47145,0,68.0,70.17732318380772
ADI-47146,0,65.0,70.63465293916947
ADI-47147,4,74.0,71.68816578075898
ADI-47149,1,76.0,71.16243833097798
ADI-47151,4,67.5,68.90584567451485
ADI-47153,3,60.0,67.65254226463395
ADI-47154,0,72.5,70.33302178189417
ADI-47155,1,60.0,69.28289412184745
ADI-47156,1,70.5,68.67083176877475
ADI-47158,1,69.0,68.46506638134326
ADI-47159,3,71.0,68.22225090717045
ADI-47162,3,71.0,69.72534496151418
ADI-47163,2,61.0,68.07914051725668
ADI-47165,1,76.0,70.20199516725239
ADI-47176,4,72.5,69.9506053316672
ADI-47177,2,73.0,69.07355191742961
ADI-47180,2,72.0,68.75236174293576
ADI-47181,0,62.5,68.77322616076282
ADI-47183,4,69.5,70.1841763337061
ADI-47187,2,66.5,68.98128203062798
ADI-47188,1,70.0,70.62451487039546
ADI-47189,4,70.5,70.35059969100911
ADI-47195,1,68.5,68.8780551800095
ADI-47199,1,71.0,71.09600430263146
ADI-47204,1,67.0,68.08465448204382
ADI-47207,3,75.0,71.12154344445652
ADI-47209,1,77.0,71.58422610664857
ADI-47212,4,68.5,69.1163263670518
ADI-47213,1,71.0,69.99120996702113
ADI-47215,0,76.0,70.85026781002294
ADI-47216,4,70.0,70.22733238655711
ADI-47218,2,70.5,71.2288362523073
ADI-47219,4,75.0,72.1667088736255
ADI-47223,4,67.5,67.73148351604902
ADI-47224,3,76.0,70.94611636970201
ADI-47225,0,63.5,69.18229054468934
ADI-47227,2,74.0,71.4405600642613
ADI-47228,2,73.0,69.64358859352278
ADI-47230,3,66.5,68.39787080426696
ADI-47233,0,69.5,71.00098088570647
ADI-47234,1,66.5,69.50164464337085
ADI-47236,1,68.5,69.86278397145544
ADI-47238,1,77.0,70.51430510868965
ADI-47240,4,66.0,70.071868207837
ADI-47241,1,72.5,69.87177008468967
ADI-47244,0,71.5,70.16903156644855
ADI-47247,3,76.0,70.30896772100034
ADI-47249,2,68.0,69.06485172278371
ADI-47250,3,71.5,70.12758127341668
ADI-47252,4,69.0,70.62409047083354
ADI-47254,4,71.5,70.31423170020899
ADI-47258,0,68.0,70.20344675992095
ADI-47259,2,72.5,69.6508261166369
ADI-47260,2,79.0,71.55630633815075
ADI-47262,0,69.0,70.83819954491575
ADI-47265,4,69.5,69.56580327201296
ADI-47267,4,70.5,69.06955610819948
ADI-47280,0,70.0,70.51222812427137
ADI-47283,2,71.5,70.2772474884849
ADI-47284,4,64.5,68.32973862166334
ADI-47285,4,82.5,72.62155387907391
ADI-47288,2,76.5,69.4792933778434
ADI-47289,3,67.0,68.8262278035269
ADI-47292,2,70.5,70.83640692163299
ADI-47297,3,79.5,71.18284512483494
ADI-47300,3,68.0,70.68754130708395
ADI-47301,2,67.0,68.36646252604869
ADI-47302,0,73.0,70.92457241239119
ADI-47308,1,66.5,69.28784802798691
ADI-47309,0,74.0,71.08952781780292
ADI-47312,4,73.0,70.06923897286465
ADI-47316,4,67.0,67.78000894624564
ADI-47317,2,69.0,69.12807360855713
