experiment_id,stage,modality,model_kind,params,pca_dim,plm_key,classical_fam,struct_fam,s3_subset,adv_fam,ref_primary,ref_shadow,oof_path,target,Primary_MAE,Primary_fold_SD,repro_status,repro_delta,include_in_stage5,reason
TmApp__SEQ_BASIC__SVROpt,1,sequence,SVR,"{'C': 3.156770845698987, 'gamma': 0.007924694562845726, 'epsilon': 0.03150627458791188}",,,SEQ_BASIC,,,,3.1010552996956626,3.171603258776206,,TmApp,3.1004682178904495,0.35760216390363947,PASS,0.0005870818052131632,True,PASS
TmApp__ablang2__HL_paired__RidgeOpt_PCANone,2b,plm,Ridge,{'alpha': 54.034535219662935},,ablang2__HL_paired,,,,,2.8634150425593057,2.980265860124068,,TmApp,2.866663614908854,0.36184083175324533,PASS,0.00324857234954834,True,PASS
TmApp__FUSION__ablang2__HL_paired__SEQ_BASIC__SVROpt,2,plm+sequence,SVR,"{'C': 18.189956991772025, 'gamma': 0.0002907403114744388, 'epsilon': 0.3568072708595925}",48.0,ablang2__HL_paired,SEQ_BASIC,,,,2.7755534883042445,2.8315941278702987,virtual_participant/stage2_plm/oof/TmApp__FUSION__ablang2__HL_paired__SEQ_BASIC__SVROpt.csv,TmApp,2.7772050155597587,0.20827899658405438,PASS,0.0016515272555142069,True,PASS
TmApp__ESMFold__STRUCT_RASA__ElasticNetOpt,3,structure,ElasticNet,"{'alpha': 2.8771511529266847, 'l1_ratio': 0.06146540695229688}",,,,RASA,,,3.241371300305512,3.2154054211795184,virtual_participant/stage3_structure/oof/TmApp__ESMFold__STRUCT_RASA__ElasticNetOpt.csv,TmApp,3.242519197265619,0.27734103491702367,OOF_MISMATCH_0.1666,0.0011478969601070865,False,OOF_MISMATCH_0.1666
TmApp__FUSION_OVERALL__ESMFold__STRUCT_RASA__SVROpt,3,plm+sequence+structure,SVR,"{'C': 19.52123923927889, 'gamma': 0.00012102467788883382, 'epsilon': 0.012431452761783849}",48.0,ablang2__HL_paired,SEQ_BASIC,RASA,,,2.753910574048997,2.8202335452759413,virtual_participant/stage3_structure/oof/TmApp__FUSION_OVERALL__ESMFold__STRUCT_RASA__SVROpt.csv,TmApp,2.749923158565081,0.3055857428214554,OOF_MISMATCH_0.0733,0.0039874154839161235,False,OOF_MISMATCH_0.0733
TmApp__ADV_TMAPP_ALL__SVROpt,4,advanced_structure,SVR,"{'C': 0.9604879749493795, 'gamma': 0.013448255673430626, 'epsilon': 0.1297568899580266}",,,,,,ADV_TMAPP_ALL,3.223903156878593,3.215341067255023,virtual_participant/stage4_advanced_structure/oof/TmApp__ADV_TMAPP_ALL__SVROpt.csv,TmApp,3.223615758958015,0.3157022330567315,PASS,0.00028739792057796976,True,PASS
TmApp__FUSION_S3INC__ADV_INTERACTIONS__SVROpt,4,incumbent_fusion,SVR,"{'C': 19.52123923927889, 'gamma': 0.00012102467788883382, 'epsilon': 0.012431452761783849}",48.0,ablang2__HL_paired,SEQ_BASIC,,rasa,ADV_INTERACTIONS,2.74260866109489,2.7704303207517023,virtual_participant/stage4_advanced_structure/oof/TmApp__FUSION_S3INC__ADV_INTERACTIONS__SVROpt.csv,TmApp,2.743927237333513,0.3105914750701719,PASS,0.0013185762386229705,True,PASS
HIC__SEQ_PLUS_ANTIBODY__SVROpt,1,sequence,SVR,"{'C': 3.0536340543834113, 'gamma': 0.00021632816716146515, 'epsilon': 0.00619549402697868}",,,SEQ_PLUS_ANTIBODY,,,,0.47319766327155754,0.4788491209692337,,HIC,0.4733316426348855,0.028703969155735864,PASS,0.0001339793633279296,True,PASS
HIC__esm2__H__SVROpt,2,plm,SVR,"{'C': 0.7581105308624507, 'gamma': 0.0007535488042221058, 'epsilon': 0.006901875186793278}",48.0,esm2__H,,,,,0.45516197068169906,0.4529083325338824,virtual_participant/stage2_plm/oof/HIC__esm2__H__SVROpt.csv,HIC,0.45536377078618645,0.022324014168623257,PASS,0.00020180010448739294,True,PASS
HIC__FUSION__esm2__H__SEQ_ALL__SVROpt,2,plm+sequence,SVR,"{'C': 2.7132375976290684, 'gamma': 0.00021035972553881986, 'epsilon': 0.0634962699970796}",8.0,esm2__H,SEQ_ALL,,,,0.44845173423800827,0.4509899411146513,virtual_participant/stage2_plm/oof/HIC__FUSION__esm2__H__SEQ_ALL__SVROpt.csv,HIC,0.44890446470154804,0.03954785975893708,PASS,0.0004527304635397744,True,PASS
HIC__ESMFold__STRUCT_SURFACE_CHEM__SVROpt,3,structure,SVR,"{'C': 8.180867710869865, 'gamma': 0.0009546207792024042, 'epsilon': 0.0022072069590240878}",,,,SURFACE_CHEM,,,0.43968592739191437,0.4488405283364788,virtual_participant/stage3_structure/oof/HIC__ESMFold__STRUCT_SURFACE_CHEM__SVROpt.csv,HIC,0.4519972258044427,0.04405406916290902,OOF_MISMATCH_0.1119,0.012311298412528315,False,OOF_MISMATCH_0.1119
HIC__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__SVROpt,3,plm+sequence+structure,SVR,"{'C': 2.1203973399088185, 'gamma': 0.00017085898361510405, 'epsilon': 0.0026673466749431896}",32.0,esm2__H,SEQ_ALL,SURFACE_ALL,,,0.4405241930414688,0.43839700086131755,virtual_participant/stage3_structure/oof/HIC__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__SVROpt.csv,HIC,0.4416902618035317,0.042162913017571704,PASS,0.0011660687620629329,True,PASS
