experiment_id,target,branch,residual_feature_family,residual_lambda,hyperparameters,Primary_MAE,Primary_fold_SD,nested,delta_vs_stage4_primary
TmApp__RESID_STRUCT_RASA__Ridge1.0__lam0.25,TmApp,residual_model,STRUCT_RASA,0.25,"{""alpha"": 1.0}",2.835483893328462,0.3076323322889452,True,0.09287523223357175
TmApp__RESID_STRUCT_RASA__Ridge1.0__lam0.5,TmApp,residual_model,STRUCT_RASA,0.5,"{""alpha"": 1.0}",3.021540540344393,0.3500108824852757,True,0.278931879249503
TmApp__RESID_STRUCT_RASA__Ridge1.0__lam1.0,TmApp,residual_model,STRUCT_RASA,1.0,"{""alpha"": 1.0}",3.573828324392989,0.468027754287885,True,0.831219663298099
TmApp__RESID_STRUCT_RASA__Ridge10.0__lam0.25,TmApp,residual_model,STRUCT_RASA,0.25,"{""alpha"": 10.0}",2.801565994143967,0.30510441848056413,True,0.05895733304907669
TmApp__RESID_STRUCT_RASA__Ridge10.0__lam0.5,TmApp,residual_model,STRUCT_RASA,0.5,"{""alpha"": 10.0}",2.9060277645014105,0.3309381114176455,True,0.16341910340652044
TmApp__RESID_STRUCT_RASA__Ridge10.0__lam1.0,TmApp,residual_model,STRUCT_RASA,1.0,"{""alpha"": 10.0}",3.2762558746758175,0.4193192575420979,True,0.5336472135809274
TmApp__RESID_STRUCT_RASA__Ridge100.0__lam0.25,TmApp,residual_model,STRUCT_RASA,0.25,"{""alpha"": 100.0}",2.75174743861175,0.29569316388466943,True,0.009138777516859875
TmApp__RESID_STRUCT_RASA__Ridge100.0__lam0.5,TmApp,residual_model,STRUCT_RASA,0.5,"{""alpha"": 100.0}",2.779004338733366,0.291492189360143,True,0.03639567763847573
TmApp__RESID_STRUCT_RASA__Ridge100.0__lam1.0,TmApp,residual_model,STRUCT_RASA,1.0,"{""alpha"": 100.0}",2.8914302205493314,0.2875900549898099,True,0.1488215594544413
TmApp__RESID_ADV_INTERACTIONS__Ridge1.0__lam0.25,TmApp,residual_model,ADV_INTERACTIONS,0.25,"{""alpha"": 1.0}",2.7564923642943135,0.32708419771615005,True,0.013883703199423447
TmApp__RESID_ADV_INTERACTIONS__Ridge1.0__lam0.5,TmApp,residual_model,ADV_INTERACTIONS,0.5,"{""alpha"": 1.0}",2.828929569346501,0.31871497935775533,True,0.08632090825161098
TmApp__RESID_ADV_INTERACTIONS__Ridge1.0__lam1.0,TmApp,residual_model,ADV_INTERACTIONS,1.0,"{""alpha"": 1.0}",3.0584773172747153,0.2851125953373942,True,0.3158686561798252
