high_id,high_HIC,control_id,control_HIC,control_band,paired_identity,family_match,match_score
ADI-45438,11.643,ADI-47249,9.44,LOW,0.7251405741343593,2,23.595702870671794
ADI-45438,11.643,ADI-45450,8.717,LOW,0.706089079609352,2,23.460445398046758
ADI-45438,11.643,ADI-46684,9.037,LOW,0.6950785861603015,2,23.405392930801508
ADI-45438,11.643,ADI-47261,10.809,MEDIUM,0.4277585167319867,2,22.088792583659934
ADI-45438,11.643,ADI-47158,11.386,MEDIUM,0.4080748507354012,2,22.000374253677005
ADI-45438,11.643,ADI-47155,10.984,MEDIUM,0.4587353029846246,1,12.253676514923125
ADI-47161,11.775,ADI-47238,9.6,LOW,0.6220120922384702,2,23.09006046119235
ADI-47161,11.775,ADI-45461,9.202,LOW,0.610201068616423,2,23.031005343082114
ADI-47161,11.775,ADI-47091,8.959,LOW,0.5982142857142857,2,22.981071428571425
ADI-47161,11.775,ADI-47259,10.717,MEDIUM,0.5987142857142858,2,22.983571428571427
ADI-47161,11.775,ADI-47149,10.503,MEDIUM,0.5930357142857143,1,12.955178571428572
ADI-47161,11.775,ADI-45410,11.235,MEDIUM,0.2782620922384702,1,11.33131046119235
ADI-45499,12.216,ADI-45422,10.143,LOW,0.8417078334509527,2,24.128539167254765
ADI-45499,12.216,ADI-45455,8.717,LOW,0.7757233592095978,2,23.80861679604799
ADI-45499,12.216,ADI-46693,9.357,LOW,0.7558927311220889,2,23.759463655610446
ADI-45499,12.216,ADI-45410,11.235,MEDIUM,0.5160197600564573,2,22.540098800282287
ADI-45499,12.216,ADI-46691,10.687,MEDIUM,0.46291460832745235,2,22.16457304163726
ADI-45499,12.216,ADI-45425,11.09,MEDIUM,0.562924462924463,1,12.754622314622315
ADI-45497,12.74,ADI-45480,9.212,LOW,0.857075058411215,2,24.225375292056075
ADI-45497,12.74,ADI-47123,9.309,LOW,0.7650773948598131,2,23.765386974299066
ADI-45497,12.74,ADI-47300,9.076,LOW,0.7322941004672897,2,23.631470502336448
ADI-45497,12.74,ADI-47154,10.949,MEDIUM,0.5470940420560748,2,22.695470210280376
ADI-45497,12.74,ADI-47263,11.279,MEDIUM,0.5112441588785046,2,22.486220794392523
ADI-45497,12.74,ADI-47262,11.046,MEDIUM,0.5554636951833214,1,12.757318475916607
ADI-47160,11.745,ADI-45495,10.381,LOW,0.6995867768595041,2,23.45793388429752
ADI-47160,11.745,ADI-47139,9.75,LOW,0.648900293255132,2,23.204501466275662
ADI-47160,11.745,ADI-47217,9.1,LOW,0.53099173553719,2,22.64495867768595
ADI-47160,11.745,ADI-47264,11.454,MEDIUM,0.5178035178035177,1,12.519017589017588
ADI-47160,11.745,ADI-47153,11.148,MEDIUM,0.4556910569105691,1,12.248455284552845
ADI-47160,11.745,ADI-47263,11.279,MEDIUM,0.19095458336492532,1,10.934772916824627
ADI-47265,11.886,ADI-45422,10.143,LOW,0.786379675370501,2,23.851898376852507
ADI-47265,11.886,ADI-45455,8.717,LOW,0.7334156669019054,2,23.597078334509526
ADI-47265,11.886,ADI-45488,9.275,LOW,0.7297202797202798,2,23.568601398601402
ADI-47265,11.886,ADI-45410,11.235,MEDIUM,0.4821453775582216,2,22.370726887791108
ADI-47265,11.886,ADI-46691,10.687,MEDIUM,0.43673253352152436,2,22.033662667607622
ADI-47265,11.886,ADI-45425,11.09,MEDIUM,0.5039154539154539,1,12.459577269577268
ADI-47163,12.148,ADI-47078,8.867,LOW,0.511592580748321,2,22.537962903741604
ADI-47163,12.148,ADI-47178,8.717,LOW,0.47797609927991425,2,22.33988049639957
ADI-47163,12.148,ADI-47087,8.93,LOW,0.3774750514810708,2,21.87737525740535
ADI-47163,12.148,ADI-46691,10.687,MEDIUM,0.33843377275580666,2,21.652168863779035
ADI-47163,12.148,ADI-45410,11.235,MEDIUM,0.32392825896762906,2,21.509641294838147
ADI-47163,12.148,ADI-47261,10.809,MEDIUM,0.3345125786163522,1,11.652562893081761
ADI-47126,12.905,ADI-47249,9.44,LOW,0.7613933020064145,2,23.79696651003207
ADI-47126,12.905,ADI-47133,9.566,LOW,0.7423215898825655,2,23.691607949412827
ADI-47126,12.905,ADI-47293,8.95,LOW,0.7273035230352304,2,23.62651761517615
ADI-47126,12.905,ADI-47261,10.809,MEDIUM,0.4419602529358627,2,22.159801264679313
ADI-47126,12.905,ADI-47158,11.386,MEDIUM,0.3995194408038445,2,21.957597204019223
ADI-47126,12.905,ADI-47155,10.984,MEDIUM,0.43224932249322495,1,12.121246612466125
ADI-47162,11.866,ADI-45463,8.916,LOW,0.8025294525294525,2,23.912647262647262
ADI-47162,11.866,ADI-38500,9.294,LOW,0.767047817047817,2,23.745239085239085
ADI-47162,11.866,ADI-47121,9.28,LOW,0.709478021978022,2,23.41739010989011
ADI-47162,11.866,ADI-45425,11.09,MEDIUM,0.536001386001386,2,22.64000693000693
ADI-47162,11.866,ADI-47152,10.551,MEDIUM,0.45887040887040886,2,22.204352044352046
ADI-47162,11.866,ADI-47151,10.546,MEDIUM,0.3018364518364518,2,21.41918225918226
ADI-45435,11.905,ADI-45493,10.406,LOW,0.8579154375614553,2,24.279577187807273
ADI-45435,11.905,ADI-45491,9.406,LOW,0.8177763730861076,2,24.028881865430538
ADI-45435,11.905,ADI-45430,8.799,LOW,0.6018050287961793,2,22.959025143980895
ADI-45435,11.905,ADI-45451,11.138,MEDIUM,0.6648405674954347,1,13.324202837477173
ADI-45435,11.905,ADI-47149,10.503,MEDIUM,0.2124244978227279,1,11.03212248911364
