id,cav_total,cav_largest,cav_count,cav_vol_frac,cav_VH_total,cav_VH_largest,cav_VL_total,cav_VL_largest,cav_CH1_total,cav_CH1_largest,cav_CL_total,cav_CL_largest,pack_fab_mean,pack_fab_median,pack_fab_q10,pack_VH_mean,pack_VH_median,pack_VH_q10,pack_VL_mean,pack_VL_median,pack_VL_q10,pack_CH1_mean,pack_CH1_median,pack_CH1_q10,pack_CL_mean,pack_CL_median,pack_CL_q10,pack_CDR_mean,pack_CDR_median,pack_CDR_q10,pack_FW_mean,pack_FW_median,pack_FW_q10
ADI-38501,87.0,35.0,3.0,0.00029239766081871346,25.77433155080214,25.77433155080214,24.471657754010696,24.471657754010696,28.10053475935829,28.10053475935829,26.239572192513368,26.239572192513368,39.72463768115942,39.0,31.0,41.166666666666664,42.0,31.0,39.5,39.0,30.1,38.333333333333336,37.0,30.4,39.5531914893617,38.0,32.0,39.19047619047619,40.0,30.0,40.67032967032967,39.0,31.0
ADI-38502,127.0,39.0,6.0,0.00039009466706802393,38.020790020790024,38.020790020790024,36.568607068607065,36.568607068607065,35.776507276507274,35.776507276507274,37.75675675675676,37.75675675675676,39.54502369668246,39.0,30.0,40.32258064516129,40.0,29.200000000000003,39.74074074074074,38.5,31.0,38.130434782608695,38.0,30.5,39.673469387755105,38.0,30.8,42.13636363636363,40.0,32.3,39.56382978723404,39.5,30.0
ADI-47173,183.0,55.0,7.0,0.0005068016660758596,54.47952047952048,54.47952047952048,54.845154845154845,54.845154845154845,54.2967032967033,54.2967032967033,54.11388611388611,54.11388611388611,39.128571428571426,38.0,30.0,39.80327868852459,39.0,31.0,39.01851851851852,37.5,30.0,37.87234042553192,38.0,28.6,39.625,38.0,31.7,38.04,35.0,30.4,39.82222222222222,38.5,30.0
ADI-47054,165.0,42.0,7.0,0.0004670569186698219,57.36125654450262,57.36125654450262,50.27748691099477,50.27748691099477,40.6020942408377,40.6020942408377,44.74869109947644,44.74869109947644,38.89855072463768,39.0,28.6,39.824561403508774,40.0,30.0,38.5,38.0,28.1,38.08,39.0,27.8,39.083333333333336,38.0,29.1,37.05,35.5,28.7,39.674157303370784,39.0,30.0
ADI-47278,230.0,41.0,9.0,0.0006817541831547433,73.68062317429406,73.68062317429406,66.51411879259982,66.51411879259982,60.91528724440116,60.91528724440116,65.39435248296009,65.39435248296009,39.325471698113205,38.0,30.0,40.54237288135593,38.0,31.6,40.01851851851852,39.0,31.3,37.15384615384615,36.0,29.0,39.40425531914894,38.0,32.0,39.9,38.0,31.6,40.376344086021504,39.0,31.200000000000003
ADI-47055,268.0,49.0,9.0,0.0010378344886341634,91.43529411764706,91.43529411764706,76.39819004524887,76.39819004524887,78.58099547511313,78.58099547511313,76.64072398190045,76.64072398190045,39.782407407407405,39.0,30.5,40.37096774193548,40.0,32.1,41.53703703703704,41.0,32.0,37.78846153846154,37.0,30.0,39.208333333333336,37.0,32.0,40.04,39.0,32.4,41.15384615384615,41.0,32.0
ADI-47174,222.0,58.0,8.0,0.0007137689896310586,70.78867924528302,70.78867924528302,58.85094339622641,58.85094339622641,66.80943396226415,66.80943396226415,68.69433962264151,68.69433962264151,39.14553990610329,38.0,30.0,40.559322033898304,40.0,31.0,39.129629629629626,39.0,29.0,37.46153846153846,37.0,29.0,39.25,38.0,31.7,39.63636363636363,39.0,30.1,39.934065934065934,40.0,30.0
ADI-47056,239.0,104.0,7.0,0.0008492342678463561,68.43705673758865,68.43705673758865,66.31826241134752,66.31826241134752,77.75975177304964,77.75975177304964,80.302304964539,80.302304964539,39.82857142857143,39.0,31.0,40.85,41.5,31.9,40.528301886792455,40.0,31.4,38.4375,37.0,31.0,39.183673469387756,37.0,32.0,40.391304347826086,41.0,32.0,40.77777777777778,40.0,31.0
ADI-47279,216.0,36.0,9.0,0.0006017115350329827,57.21702127659575,57.21702127659575,70.31489361702128,70.31489361702128,49.863829787234046,49.863829787234046,59.74468085106383,59.74468085106383,39.19138755980861,39.0,29.0,40.75409836065574,41.0,30.0,38.94,38.0,30.8,37.714285714285715,38.0,26.0,38.97959183673469,37.0,28.0,38.904761904761905,39.0,29.0,40.17777777777778,39.5,30.9
ADI-47057,276.0,109.0,6.0,0.0009414461431407462,79.82471516213847,79.82471516213847,79.82471516213847,79.82471516213847,90.70990359333918,90.70990359333918,91.9193689745837,91.9193689745837,39.70334928229665,39.0,31.0,40.16393442622951,39.0,32.0,40.84615384615385,40.0,33.0,38.270833333333336,37.5,30.7,39.3125,37.5,31.7,39.666666666666664,39.0,31.6,40.69662921348315,40.0,32.0
ADI-47280,208.0,51.0,8.0,0.0007280669821623589,69.33333333333333,69.33333333333333,59.374887082204154,59.374887082204154,60.12646793134598,60.12646793134598,55.05329719963866,55.05329719963866,39.31603773584906,38.5,31.0,39.65573770491803,39.0,31.0,39.886792452830186,39.0,31.2,38.14,37.0,29.0,39.479166666666664,38.0,32.0,38.81818181818182,39.0,31.3,39.98913043478261,39.0,31.1
ADI-47058,219.0,64.0,8.0,0.0005789239944169522,63.97228144989339,63.97228144989339,69.8091684434968,69.8091684434968,56.03411513859275,56.03411513859275,60.93710021321962,60.93710021321962,39.529126213592235,39.0,30.0,41.280701754385966,41.0,33.2,39.88235294117647,39.0,32.0,37.52,37.0,27.8,39.166666666666664,37.5,29.1,39.1,38.0,31.8,40.96590909090909,40.0,32.0
