id,disulfide_cys_count,n_titratable,frac_abs_mass_from_sentinel,sentinel_in_cdr,sentinel_in_interface,sentinel_in_buried
ADI-37123,4,51,0.8974036541164286,0,0,4
ADI-37124,4,60,0.8840847260007775,0,0,4
ADI-37125,6,58,0.9183179142136247,2,0,6
ADI-38498,6,66,0.897794734332089,2,0,4
ADI-38499,4,49,0.8991550965956816,0,0,4
ADI-38500,6,55,0.9106285028022417,2,0,6
ADI-38501,4,56,0.8874475763191261,0,0,4
ADI-38502,4,56,0.8642872408634324,0,0,4
ADI-38503,4,54,0.9136000803253176,0,0,4
ADI-45368,4,57,0.883290862759374,0,0,4
ADI-45370,4,52,0.8926714411851272,0,0,4
ADI-45373,4,49,0.8968950221784131,0,0,4
ADI-45375,4,62,0.8350770925110133,0,0,4
ADI-45378,4,60,0.8598360462094543,0,0,4
ADI-45379,4,60,0.8541656888054447,0,0,4
ADI-45382,6,56,0.9273023745626251,2,0,4
ADI-45383,4,58,0.8720529039677977,0,0,4
ADI-45388,4,53,0.8801296157473462,0,0,4
ADI-45389,4,48,0.9102868719205662,0,0,4
ADI-45390,4,54,0.8713847921854051,0,0,4
ADI-45391,4,50,0.9060944035052778,0,0,4
ADI-45393,4,59,0.8842780436842488,0,0,4
ADI-45395,4,52,0.8986222902572714,0,0,4
ADI-45397,4,47,0.9111072170626081,0,0,4
ADI-45402,4,56,0.8753246753246753,0,0,4
ADI-45404,4,55,0.8956369810763589,0,0,4
ADI-45405,4,55,0.9049229239184485,0,0,4
ADI-45406,4,58,0.877160002892054,0,0,4
ADI-45407,4,48,0.8922337713277113,0,0,4
ADI-45408,4,52,0.8880322069049652,0,0,4
ADI-45409,4,52,0.8848585043275309,0,0,4
ADI-45410,4,54,0.8842135950634079,0,0,4
ADI-45411,4,56,0.8821348069512108,0,0,4
ADI-45422,4,59,0.8693035253654343,0,0,4
ADI-45425,4,57,0.8569006921881622,0,0,4
ADI-45428,6,57,0.9249144444820926,2,0,4
ADI-45429,4,51,0.8804063860667635,0,0,4
ADI-45430,4,53,0.8797679477882524,0,0,4
ADI-45433,4,61,0.850214913100355,0,0,4
ADI-45435,4,55,0.8942066728907673,0,0,4
ADI-45438,4,55,0.9010249046888151,0,0,4
ADI-45439,4,54,0.8925182079011255,0,0,4
ADI-45440,4,57,0.8809391262253419,0,0,4
ADI-45442,4,49,0.8991773105714358,0,0,4
ADI-45447,4,63,0.8896167383652719,0,0,4
ADI-45448,4,56,0.890008314178119,0,0,4
ADI-45450,4,57,0.8853105008391915,0,0,4
ADI-45451,4,60,0.8713847921854051,0,0,4
ADI-45452,4,54,0.8913160601459568,0,0,4
ADI-45453,4,50,0.9096725818545364,0,0,4
ADI-45454,4,56,0.891337888472559,0,0,4
ADI-45455,4,56,0.8684116341771849,0,0,4
ADI-45456,4,59,0.8344261543399515,0,0,4
ADI-45459,4,54,0.8918183822988898,0,0,4
ADI-45460,4,59,0.8589229244347949,0,0,4
ADI-45461,4,66,0.8646157500890842,0,0,4
ADI-45463,4,51,0.889334147831399,0,0,4
ADI-45464,4,51,0.902163944178668,0,0,4
ADI-45465,4,54,0.8960779968978503,0,0,4
ADI-45469,4,49,0.8998664886515353,0,0,4
ADI-45470,4,51,0.904877927502362,0,0,4
ADI-45472,4,53,0.8877073170731709,0,0,4
ADI-45476,4,47,0.8974700399467377,0,0,4
ADI-45477,4,60,0.8776041666666669,0,0,4
ADI-45479,4,50,0.8894862896524758,0,0,4
ADI-45480,4,52,0.9023205077350259,0,0,4
ADI-45481,4,52,0.8937455491982417,0,0,4
ADI-45485,4,51,0.8927371287007285,0,0,4
ADI-45486,4,65,0.8474631522574336,0,0,4
ADI-45488,4,60,0.8671908506075768,0,0,4
ADI-45489,4,57,0.8765684834180294,0,0,4
ADI-45490,4,54,0.9028129185890759,0,0,4
ADI-45491,4,52,0.8969171246211094,0,0,4
ADI-45493,4,58,0.8788969114486489,0,0,4
ADI-45495,4,46,0.8996885351263163,0,0,4
ADI-45497,4,53,0.9045405969629944,0,0,4
ADI-45498,4,52,0.9011587600277309,0,0,4
ADI-45499,4,63,0.864841745081266,0,0,4
ADI-46677,4,54,0.8880755435180441,0,0,4
ADI-46678,4,49,0.8938552974114642,0,0,4
ADI-46682,4,52,0.903956486103867,0,0,4
ADI-46684,4,58,0.8434371523915462,0,0,4
ADI-46685,4,60,0.8666952421774539,0,0,4
ADI-46689,4,53,0.8728057553956834,0,0,4
ADI-46690,4,51,0.8999332393739335,0,0,4
