id,B_done,B_finite_frac,B_n_present,B_n_sites,B_runtime_s,B_R1_F_rms,B_R1_severe_clash,B_backbone_RMSD,B_n_atoms,B_converged,C_done,C_finite_frac,C_n_present,C_n_sites,C_runtime_s,C_R1_F_rms,C_R1_severe_clash,C_backbone_RMSD,C_n_atoms,C_converged,M_done,M_finite_frac,M_n_present,M_n_sites,M_runtime_s,M_R1_F_rms,M_R1_severe_clash,M_backbone_RMSD,M_n_atoms,M_converged,cm_ok,cm_error,cm_max_abs,cm_rmsd,cm_n_atoms,tol_max_abs,tol_rmsd,prep_HL_SG_SG_after,prep_VH_intra_SG_SG_after,prep_VL_intra_SG_SG_after,prep_CH1_intra_SG_SG_after,prep_CL_intra_SG_SG_after,prep_backbone_RMSD,prep_VH_CA_RMSD,prep_severe_clash_after
ADI-47109,True,1.0,71.0,52.0,94.1491527557373,1.3018082063449,0,0.0,3387,False,True,1.0,113.0,108.0,319.0761160850525,0.5732494364704382,0,0.0,6496,True,True,1.0,71.0,52.0,53.55785536766052,0.5704061115979928,0,0.0,3385,True,True,,0.0,0.0,3385,0.0001,1e-06,2.049673926818772,2.043705803114349,2.046884816697862,2.062368238936931,2.0509144648241944,0.0263999867330585,0.0241614879379343,0
ADI-47068,True,1.0,71.0,52.0,98.26143479347228,1.3158200099013682,0,0.0,3549,False,True,1.0,113.0,108.0,337.054132938385,0.5616104790323956,0,0.0,6658,False,True,1.0,71.0,52.0,57.51633358001709,0.5653125390031057,0,0.0,3547,True,True,,0.0,0.0,3547,0.0001,1e-06,2.0486705317454943,2.044666122338462,2.0453959110476267,2.0617440078444265,2.0509943614038257,0.025249273034627,0.0246757317925733,0
ADI-45497,True,1.0,71.0,52.0,138.45021891593933,1.3655675730159595,0,0.0,3578,False,True,1.0,113.0,108.0,351.9233365058899,0.595813084813015,0,0.0,6687,False,True,1.0,71.0,52.0,55.73451614379883,0.6180837312885048,0,0.0,3576,True,True,,0.0,0.0,3576,0.0001,1e-06,2.0486498207173627,2.049455546624776,2.0475653847269704,2.0632763644408096,2.051309971900133,0.0270914553249746,0.027720821058142,0
ADI-47189,True,1.0,71.0,52.0,134.86165952682495,1.3018561118346943,0,0.0,3647,False,True,1.0,113.0,108.0,338.96638083457947,0.571110763154544,0,0.0,6756,True,True,1.0,71.0,52.0,66.50948286056519,0.5851710194007331,0,0.0,3645,True,True,,0.0,0.0,3645,0.0001,1e-06,2.0492591446686026,2.042746510287457,2.043459666175949,2.063194329341268,2.0518463829599,0.0257000365689917,0.0259915987700557,0
ADI-47280,True,1.0,71.0,52.0,155.1598253250122,1.3293365367504046,0,0.0,3518,False,True,1.0,113.0,108.0,392.0925645828247,0.5701435976098927,0,0.0,6627,False,True,1.0,71.0,52.0,70.00894904136658,0.5844462207775316,0,0.0,3516,True,True,,0.0,0.0,3516,0.0001,1e-06,2.0472236539912543,2.0485035291479154,2.044877966904705,2.06424183400288,2.0500037629703955,0.0270296592891937,0.0268863878367735,0
ADI-45447,True,1.0,71.0,52.0,131.65115094184875,1.5130210842042664,0,0.0,3478,False,True,1.0,113.0,108.0,321.54676127433777,0.5700045493674161,0,0.0,6587,False,True,1.0,71.0,52.0,54.05689358711243,0.5983623707060581,0,0.0,3476,True,True,,0.0,0.0,3476,0.0001,1e-06,2.047126392057272,2.042616383335433,2.044061340046327,2.05062638465118,2.0498130279949027,0.0260725380291031,0.0248989356128097,0
ADI-45405,True,1.0,71.0,52.0,129.11775708198547,1.270037802984258,0,0.0,3402,False,True,1.0,113.0,108.0,327.3294303417206,0.5933464339127554,0,0.0,6450,False,True,1.0,71.0,52.0,92.6239161491394,0.5997487293229331,0,0.0,3400,True,True,,0.0,0.0,3400,0.0001,1e-06,2.056931030727525,2.043632860108316,2.043432760659149,2.061768310202656,2.045003826447507,0.0268347481481517,0.0238983336891403,0
ADI-47092,True,1.0,71.0,52.0,178.30597758293152,1.23811913703547,0,0.0,3466,False,True,1.0,113.0,108.0,418.4517619609833,0.5790224572545845,0,0.0,6514,True,True,1.0,71.0,52.0,94.27886915206908,0.5897773096034773,0,0.0,3464,True,True,,0.0,0.0,3464,0.0001,1e-06,2.0504811383554395,2.043123439609148,2.043501159644115,2.061469674180932,2.046387594009925,0.0255049004277326,0.023443870348723,0
ADI-47153,True,1.0,71.0,52.0,201.41190767288208,1.2948290608570328,1,0.0,3422,False,True,1.0,113.0,108.0,289.5659611225128,0.5863860103649197,0,0.0,6470,True,True,1.0,71.0,52.0,53.47946381568909,0.5941929208956535,0,0.0,3420,True,True,,0.0,0.0,3420,0.0001,1e-06,2.0560493085994858,2.04324508815219,2.043501528122172,2.0617723208475542,2.0453939527235896,0.0265938974869674,0.0245667348641509,0
ADI-45428,True,1.0,71.0,52.0,132.70097279548645,1.1998386022080787,0,0.0,3534,False,True,1.0,113.0,108.0,321.28040528297424,0.5808943960175011,0,0.0,6582,False,True,1.0,71.0,52.0,54.82312440872192,0.5697614756457372,0,0.0,3532,True,True,,0.0,0.0,3532,0.0001,1e-06,2.055762288350827,2.0439906180478395,2.0398501039429666,2.062475793160455,2.045677068773184,0.0248382001140945,0.0229787075424962,0
ADI-45389,True,1.0,71.0,52.0,121.28584909439088,1.231558462548384,0,0.0,3332,False,True,1.0,113.0,108.0,264.7614378929138,0.5769631000036776,0,0.0,6380,True,True,1.0,71.0,52.0,51.98029112815857,0.5813432404733678,0,0.0,3330,True,True,,0.0,0.0,3330,0.0001,1e-06,2.0514279607388493,2.0436531834041305,2.03869616191056,2.060994304473676,2.046402847547062,0.0246041565542803,0.0229421440065476,0
ADI-47196,True,1.0,71.0,52.0,130.77056312561035,1.1960124929923797,0,0.0,3473,False,True,1.0,113.0,108.0,276.4570255279541,0.5756218651705516,0,0.0,6521,True,True,1.0,71.0,52.0,53.879708766937256,0.5668418839662109,0,0.0,3471,True,True,,0.0,0.0,3471,0.0001,1e-06,2.051272291573196,2.043082665567709,2.04350149971791,2.062551189372771,2.045760726951082,0.0247834091977094,0.0248143243417698,0
