id,H_n_cdr,L_n_cdr,H_n_exposed,L_n_exposed,H_n_unresolved,L_n_unresolved,H_rasa_mapped,L_rasa_mapped
ADI-37123,28,18,63,61,0,0,True,True
ADI-38499,27,23,61,59,0,0,True,True
ADI-38501,28,19,62,58,0,0,True,True
ADI-38502,32,18,66,57,0,0,True,True
ADI-45379,27,19,62,56,0,0,True,True
ADI-45388,31,23,61,61,0,0,True,True
ADI-45389,26,22,59,60,0,0,True,True
ADI-45390,28,22,62,57,0,0,True,True
ADI-45391,27,22,61,57,0,0,True,True
ADI-45402,33,24,65,62,0,0,True,True
ADI-45406,31,18,66,57,0,0,True,True
ADI-45408,28,24,60,61,0,0,True,True
ADI-45422,31,20,65,59,0,0,True,True
ADI-45425,35,23,67,56,0,0,True,True
ADI-45430,30,24,63,61,0,0,True,True
ADI-45435,35,24,68,60,0,0,True,True
ADI-45439,30,18,64,59,0,0,True,True
ADI-45440,28,23,62,58,0,0,True,True
ADI-45450,28,20,65,58,0,0,True,True
ADI-45451,35,24,65,60,0,0,True,True
ADI-45453,29,18,65,57,0,0,True,True
ADI-45454,31,24,66,61,0,0,True,True
ADI-45455,32,20,61,61,0,0,True,True
ADI-45461,36,23,68,61,0,0,True,True
ADI-45463,29,23,60,57,0,0,True,True
ADI-45464,29,18,63,60,0,0,True,True
ADI-45465,29,22,65,59,0,0,True,True
ADI-45479,33,18,63,56,0,0,True,True
ADI-45480,31,18,69,57,0,0,True,True
ADI-45488,32,21,63,58,0,0,True,True
ADI-45490,33,21,64,58,0,0,True,True
ADI-45491,29,24,66,59,0,0,True,True
ADI-45493,34,24,67,58,0,0,True,True
ADI-45495,27,22,63,62,0,0,True,True
ADI-45497,37,18,70,55,0,0,True,True
ADI-45499,39,20,70,60,0,0,True,True
ADI-46677,27,18,60,55,0,0,True,True
ADI-46682,25,18,60,57,0,0,True,True
ADI-46684,38,20,72,60,0,0,True,True
ADI-46685,32,19,65,61,0,0,True,True
ADI-46690,23,18,60,60,0,0,True,True
ADI-46695,29,18,61,58,0,0,True,True
ADI-46697,30,23,62,62,0,0,True,True
ADI-46704,37,20,67,59,0,0,True,True
ADI-46705,33,18,61,55,0,0,True,True
ADI-46708,31,18,68,55,0,0,True,True
ADI-46710,34,18,65,57,0,0,True,True
ADI-47054,29,19,66,59,0,0,True,True
ADI-47060,28,18,59,57,0,0,True,True
