id,neighborhood,radius,mean_neighbor_count,median_neighbor_count,n_residues
ADI-37123,CENTROID,4.0,1.1946902654867257,1.0,226
ADI-37123,CENTROID,5.0,2.5309734513274336,2.0,226
ADI-37123,CENTROID,6.0,4.761061946902655,5.0,226
ADI-37123,CENTROID,7.5,8.424778761061948,8.0,226
ADI-37123,CENTROID,8.0,9.778761061946902,10.0,226
ADI-37123,CENTROID,10.0,17.75221238938053,17.0,226
ADI-37123,CLOSEST_SC,4.0,3.353982300884956,3.0,226
ADI-37123,CLOSEST_SC,5.0,5.823008849557522,5.0,226
ADI-37123,CLOSEST_SC,6.0,8.646017699115044,8.0,226
ADI-37123,CLOSEST_SC,7.5,13.610619469026549,12.5,226
ADI-37123,CLOSEST_SC,8.0,15.752212389380531,14.0,226
ADI-37123,CLOSEST_SC,10.0,25.56637168141593,24.0,226
ADI-37124,CENTROID,4.0,1.225108225108225,1.0,231
ADI-37124,CENTROID,5.0,2.5238095238095237,2.0,231
ADI-37124,CENTROID,6.0,4.740259740259741,5.0,231
ADI-37124,CENTROID,7.5,8.437229437229437,9.0,231
ADI-37124,CENTROID,8.0,9.943722943722944,10.0,231
ADI-37124,CENTROID,10.0,17.78787878787879,18.0,231
ADI-37124,CLOSEST_SC,4.0,3.4761904761904763,3.0,231
ADI-37124,CLOSEST_SC,5.0,5.822510822510822,5.0,231
ADI-37124,CLOSEST_SC,6.0,8.731601731601732,8.0,231
ADI-37124,CLOSEST_SC,7.5,13.822510822510823,13.0,231
ADI-37124,CLOSEST_SC,8.0,16.004329004329005,15.0,231
ADI-37124,CLOSEST_SC,10.0,26.038961038961038,25.0,231
ADI-37125,CENTROID,4.0,1.1896551724137931,1.0,232
ADI-37125,CENTROID,5.0,2.5258620689655173,3.0,232
ADI-37125,CENTROID,6.0,4.741379310344827,5.0,232
ADI-37125,CENTROID,7.5,8.301724137931034,8.0,232
ADI-37125,CENTROID,8.0,9.586206896551724,9.0,232
ADI-37125,CENTROID,10.0,17.603448275862068,17.0,232
ADI-37125,CLOSEST_SC,4.0,3.3275862068965516,3.0,232
ADI-37125,CLOSEST_SC,5.0,5.7844827586206895,5.0,232
ADI-37125,CLOSEST_SC,6.0,8.629310344827585,8.0,232
ADI-37125,CLOSEST_SC,7.5,13.491379310344827,12.0,232
ADI-37125,CLOSEST_SC,8.0,15.612068965517242,14.0,232
