antibody_id,structure_source,pdb_path,exists,heavy_match,light_match,vh_len_pdb,vl_len_pdb,chain_H,chain_L,n_chains,complete,malformed,notes
ADI-37123,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-37123.pdb,True,True,True,119,107,A,B,2,True,False,
ADI-38499,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-38499.pdb,True,True,True,118,111,A,B,2,True,False,
ADI-38501,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-38501.pdb,True,True,True,119,108,A,B,2,True,False,
ADI-38502,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-38502.pdb,True,True,True,123,107,A,B,2,True,False,
ADI-45379,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45379.pdb,True,True,True,118,108,A,B,2,True,False,
ADI-45388,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45388.pdb,True,True,True,122,112,A,B,2,True,False,
ADI-45389,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45389.pdb,True,True,True,117,110,A,B,2,True,False,
ADI-45390,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45390.pdb,True,True,True,119,110,A,B,2,True,False,
ADI-45391,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45391.pdb,True,True,True,118,110,A,B,2,True,False,
ADI-45402,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45402.pdb,True,True,True,124,113,A,B,2,True,False,
ADI-45406,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45406.pdb,True,True,True,122,107,A,B,2,True,False,
ADI-45408,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45408.pdb,True,True,True,119,113,A,B,2,True,False,
ADI-45422,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45422.pdb,True,True,True,122,109,A,B,2,True,False,
ADI-45425,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45425.pdb,True,True,True,126,111,A,B,2,True,False,
ADI-45430,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45430.pdb,True,True,True,121,113,A,B,2,True,False,
ADI-45435,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45435.pdb,True,True,True,126,113,A,B,2,True,False,
ADI-45439,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45439.pdb,True,True,True,121,107,A,B,2,True,False,
ADI-45440,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45440.pdb,True,True,True,119,111,A,B,2,True,False,
ADI-45450,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45450.pdb,True,True,True,119,109,A,B,2,True,False,
ADI-45451,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45451.pdb,True,True,True,126,113,A,B,2,True,False,
ADI-45453,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45453.pdb,True,True,True,120,107,A,B,2,True,False,
ADI-45454,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45454.pdb,True,True,True,122,113,A,B,2,True,False,
ADI-45455,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45455.pdb,True,True,True,123,109,A,B,2,True,False,
ADI-45461,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45461.pdb,True,True,True,127,112,A,B,2,True,False,
ADI-45463,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45463.pdb,True,True,True,120,111,A,B,2,True,False,
